gene,n,spearman_rho,p,p_fdr_bh
NRP2,380,0.6039058506304558,3.9145203951818055e-39,9.003396908918153e-38
FLT4,380,0.5679971298798925,7.645775238299267e-34,8.792641524044158e-33
VEGFC,380,0.5618490005484551,5.315237948383716e-33,4.075015760427516e-32
NRP1,380,0.5465382004157829,5.5975761094800335e-31,3.218606262951019e-30
NOTCH4,380,0.5345345604759292,1.8299406623202197e-29,8.41772704667301e-29
FLT1,380,0.47950993125262853,3.038049279901028e-23,1.164585557295394e-22
PDGFB,380,0.4701197314568798,2.7290718125029644e-22,8.866556495065118e-22
TEK,380,0.46958811545748136,3.084019650457432e-22,8.866556495065118e-22
ANGPT1,380,0.4523524507587544,1.4501883060362834e-20,3.706036782092724e-20
KDR,380,0.4403675894313268,1.8602241102586905e-19,4.278515453594988e-19
APLNR,380,0.38651220192439556,5.474717501503561e-15,1.1447136594052901e-14
FGF2,380,0.37168643327637046,6.798017329435215e-14,1.302953321475083e-13
ANGPT2,380,0.3455297856652713,4.269622093213917e-12,7.553946780301546e-12
EPAS1,380,0.3054596837894349,1.1956178480252653e-09,1.964229321755793e-09
VEGFB,380,0.28867326833674584,9.972045006205361e-09,1.5290469009514887e-08
NOTCH1,380,0.2636677510229258,1.8334812814583255e-07,2.635629342096343e-07
ANGPTL4,380,0.22495162523470538,9.531290885117941e-06,1.2895275903394862e-05
HIF1A,380,0.20720495235503586,4.698943776202616e-05,6.004205936258898e-05
DLL4,380,0.20485662810178665,5.746635755650972e-05,6.956453809472229e-05
ESM1,380,0.17520004898723032,0.0006022539973550406,0.0006925920969582968
JAG1,380,0.07746311464037171,0.13172737248234304,0.14427283652828046
VEGFA,380,-0.04408814700206553,0.3914329407459314,0.4092253471434737
APLN,380,-0.002224648857849218,0.9655233131030985,0.9655233131030985
