,spearman_rho
TNS1,0.6784173412127601
SGCD,0.6685288688448401
MAP1A,0.6682114370893302
ARHGEF17,0.667311153749552
MAP1B,0.6664774976949035
MSRB3,0.663348590600846
STON1,0.657136158905628
AOC3,0.6565711978825715
PEG3,0.6563972705654153
MPDZ,0.6546132114431704
PKD2,0.654017665665684
AMOTL1,0.6527039189580167
DACT3,0.6513772568039466
HMCN1,0.6509087133665743
GEFT,0.6470730996434926
KANK2,0.6462396027637992
SSC5D,0.6441581202604929
CDH2,0.6419079742902724
CCDC8,0.6406083674140062
ACTA2,0.6404609381284082
COL8A1,0.6393638935313687
PRDM6,0.6390445584979307
FBXL7,0.6385790061883437
ZFHX4,0.6384792521288725
PRELP,0.6367273069826223
CALD1,0.6358612194967657
C14orf132,0.635623158507005
FGFR1,0.635179777297487
FERMT2,0.6334417301120672
JPH2,0.6323524105258997
FNDC1,0.6309318993520979
NAP1L3,0.6307941869372687
SLC22A17,0.6307344544432334
JAM3,0.6299077620341558
CYS1,0.6297275491595723
SALL2,0.629142159888983
PDGFC,0.6288789476171752
PRICKLE1,0.6287369818555866
PRKD1,0.6287327517282431
ZDHHC15,0.6275550829996596
LMOD1,0.6274731112134563
ANTXR1,0.6273971753537143
NOTCH3,0.6270175516779319
BNC2,0.6268846505564334
NUAK1,0.6261041172323918
FIBIN,0.625822276834801
MN1,0.6257387296002564
MEIS1,0.6256811994315471
DDR2,0.6237644900845566
PNMAL2,0.6228557744671454
AKT3,0.6226282661591351
NALCN,0.6223082375376049
PLXNA4,0.6222155593913261
KCNE4,0.6221742265109048
DZIP1,0.6218610928657754
PCDHB5,0.6218572436985442
KIAA1462,0.6216319592708194
MRVI1,0.6212791902782248
LOC399959,0.6207144013479639
LAMA4,0.6204724642571608
ADAMTSL3,0.6202327237356101
PRICKLE2,0.6195292608803453
DOK6,0.6192964598176848
VGLL3,0.6192050802261722
ADCY2,0.6189220505069697
C5orf23,0.6187530169303495
NACAD,0.6186867295192682
GPR124,0.6184102870305724
CHRD,0.6169531538746164
TUB,0.6168622452359284
RNF180,0.6167779638062287
GLI3,0.6159190829177521
C20orf194,0.6158017290915947
GLIS2,0.6153839929524217
RGAG4,0.6151634163314448
EVC,0.6148898153794258
TSHZ3,0.6148234252243557
GLI2,0.6139568475913596
EFS,0.6132751917484723
RUNX1T1,0.6131320080319899
ZEB1,0.6129511053712018
TIMP2,0.6122356614984306
LOXL4,0.6115660340369409
ASPN,0.6113283334413532
SULF1,0.6111566026409786
FLNA,0.6110084188464097
PGR,0.6110068981052856
PTPRM,0.610561570177826
PCDH7,0.6103521571770691
FBN1,0.6098033927497575
PLN,0.6095588503033356
SPOCK1,0.6095352648436142
VCAN,0.6095153429537187
FZD1,0.6094894539607228
PXDN,0.6094680936049588
AEBP1,0.6094019104995441
MXRA8,0.609378094175421
PTGIS,0.6093686399810563
EMILIN1,0.6092593516291355
EHD2,0.6091508718221625
BOC,0.6088642925528296
MFGE8,0.6083383478576817
HAND2,0.6080065775184167
CLIP3,0.6075396960996875
CNTNAP1,0.6072473804199646
ATP10A,0.6070730161536283
FRMD6,0.6070152383809658
THBS2,0.6065278184674776
C10orf72,0.6063921504286236
TAGLN,0.605843714919531
TMEM47,0.6058142125501441
NKX3-2,0.6056122069338741
AKAP12,0.6051628729521316
ATP2B4,0.6047835037972368
ZNF667,0.60477715318108
FIGN,0.604681129681936
NRK,0.6041002359053402
NRP2,0.6039058506304558
RNF150,0.6037881242472886
SLIT2,0.6037285775572605
CDH11,0.6035106185526613
DPYSL3,0.6034036812357629
HSPB7,0.6033956907220271
MMP16,0.6032118173591662
FAM38B,0.6030267479520454
PNMAL1,0.6024944938703898
SCARF2,0.6023989911280463
C21orf34,0.6018612887161366
COL5A1,0.6017400587034542
COL8A2,0.6015884287212686
FILIP1,0.6010393577529274
MAP6,0.6007434888957964
TSPYL5,0.6006043459574535
NUDT10,0.6005534045639787
SYPL2,0.6005003798978341
PCDHB7,0.5995604828184914
PABPC4L,0.5983250451616242
GLRB,0.5974213211658326
FXYD6,0.5973592877625421
FAM110B,0.5972515703087363
MRC2,0.597114640021178
MYLK,0.5969525699565206
PHLDB2,0.5968046738075266
SDC2,0.5966930337562887
PCDHB4,0.5963755224974501
PPP1R3C,0.5960986672935409
LAMC1,0.5960628615655958
MEIS3,0.5959100797966218
TMEM200B,0.5958603598465344
SYDE1,0.5957808837844993
PDGFRB,0.5955977296579992
CSDC2,0.5952070929829004
LAMB2,0.5946387624431102
P4HA3,0.5944675963754861
TRO,0.594432800589576
NAV3,0.594347741082288
C15orf59,0.593819749247506
FSTL1,0.5934545335223056
TSHZ2,0.5933942420908973
LOC100126784,0.5931873163292332
CACNA2D1,0.5926321140707425
ITGA11,0.5919695815938683
ZNF521,0.5911770811586236
CCDC80,0.5910832200152024
DNAJB5,0.5902639432022437
COL3A1,0.5898344053307385
LTBP3,0.5895351680912023
ISM1,0.5889540847542141
COL4A2,0.5888786066183267
EFEMP2,0.5887862965475373
PTRF,0.5885396862276034
FAM19A5,0.5885077656329504
CRISPLD1,0.5881137718871852
CRYAB,0.5879554449022946
WHAMML1,0.5878279922436402
TGFB1I1,0.5876374784131994
CNTN1,0.5874597958146365
SMARCA1,0.5874269744737303
IGFBP5,0.5871380354268001
ABCC9,0.586263415344736
FGF1,0.5862278325825553
HSPG2,0.5859949706273023
LTBP1,0.5858736967867257
COL5A2,0.5853912809312206
KLHL4,0.5853056113583416
MEX3B,0.5851978098168447
DLG4,0.5848318784633512
NPR3,0.5841672291969923
BGN,0.5839485290457285
NECAB1,0.5831140896051106
FAM26E,0.5829326067496978
EFEMP1,0.5827749106568412
PABPC5,0.582583471804747
TCF4,0.5823472390881571
PTGER3,0.5820411069645083
MITF,0.5818226689920809
CNN1,0.5817409415901204
MAGEL2,0.5814394548150463
ZFPM2,0.5811529548349237
MCC,0.580948117489493
MRAS,0.5807899533547831
GPRASP1,0.5807551812490319
AXL,0.5801959845546562
NXN,0.5801554838759984
LDOC1,0.5798503093735345
MYL9,0.5796700002996522
NPR2,0.5796106429607278
COL6A3,0.5796010576343692
PDZD4,0.5792783968750794
LONRF2,0.5792245482200724
PODN,0.5792185701427838
NBLA00301,0.5788795278516311
HHIPL1,0.5778325432340836
NEXN,0.5772822013751968
SLC24A3,0.5771180727339889
NHSL2,0.5764037011305303
RASSF8,0.5763191134558893
PALM,0.5756738132437875
LOC728264,0.5755213216895068
SPEG,0.5750577088158542
MGP,0.5749531327827079
NTM,0.574345053186333
DLG2,0.5741951619992722
PCDHB6,0.5741391270585184
SFRP4,0.5737811423169998
C6orf186,0.573720348590282
SYNPO2,0.573500496104595
COMP,0.5733577688196313
PCDHGA4,0.5731377113694958
COL1A2,0.5730274124438186
BVES,0.5729901450611263
SCG2,0.5727961022008371
DAAM2,0.5727645324562047
ADAMTS6,0.5725035701558108
FLRT2,0.572058187311396
C16orf45,0.5718727671157635
HSD17B6,0.5714370067155244
SYT11,0.5709092706346284
ELN,0.5708195579488369
MMP14,0.5707164826989698
MAP3K12,0.570470885882363
HEG1,0.5703332796641957
SPARC,0.5702965904088543
THSD7A,0.569878992947389
OLFML2B,0.5695752149668033
