TF,n,spearman_rho,p,is_signature_gene,p_fdr_bh,significant_fdr01
ZNF532,380,0.6620351963753486,2.8072608569466675e-49,True,4.345639806553441e-46,True
PEG3,380,0.6563972705654152,3.3965132560718745e-48,False,2.6289012601996307e-45,True
PRDM6,380,0.6390445584979307,5.2737351522573915e-45,False,2.5724363847581043e-42,True
ZFHX4,380,0.6384792521288725,6.647122441235412e-45,False,2.5724363847581043e-42,True
MEIS2,380,0.6296587987498375,2.3127907456631274e-43,True,7.160400148573043e-41,True
SALL2,380,0.629142159888983,2.8371956118563795e-43,False,7.319964678589459e-41,True
BNC2,380,0.6268846505564334,6.898398304425849e-43,False,1.5255315107501737e-40,True
MEIS1,380,0.6256811994315471,1.104466397137938e-42,False,2.13714247846191e-40,True
DZIP1,380,0.6218610928657754,4.854095208788302e-42,False,8.34904375911588e-40,True
GLI3,380,0.6159190829177521,4.663749893180297e-41,False,7.2194848346431e-39,True
GLIS2,380,0.6153839929524217,5.704228977776782e-41,False,8.027405870544053e-39,True
TSHZ3,380,0.6148234252243556,7.04114578136082e-41,False,9.083078057955459e-39,True
GLI2,380,0.6139568475913596,9.74201803256169e-41,False,1.1600495318773458e-38,True
ZEB1,380,0.6129511053712019,1.4182463479050403e-40,False,1.568175247540716e-38,True
PGR,380,0.6110068981052856,2.9200526640329347e-40,False,3.0134943492819885e-38,True
AEBP1,380,0.6094019104995441,5.280487818740386e-40,False,5.108871964631323e-38,True
HAND2,380,0.6080065775184166,8.81370910115309e-40,False,8.025659816814698e-38,True
NKX3-2,380,0.6056122069338741,2.1104770428676373e-39,False,1.815010256866168e-37,True
ZNF667,380,0.60477715318108,2.8568152463845536e-39,False,2.3275526323175206e-37,True
MEIS3,380,0.5959100797966219,6.739241245155919e-38,False,5.216172723750682e-36,True
TSHZ2,380,0.5933942420908974,1.623209493694526e-37,False,1.1965372839233934e-35,True
ZNF521,380,0.5911770811586234,3.4998223106707387e-37,False,2.462602244053774e-35,True
TCF4,380,0.5823472390881571,7.041526720428181e-36,False,4.739253636183837e-34,True
MITF,380,0.5818226689920809,8.392011826778686e-36,False,5.412847628272252e-34,True
