cell,celltype,source
RHC3934__Bcell__#7DEA7B,Bcell,NM
RHC3944__Bcell__#7DEA7B,Bcell,NM
RHC3962__Tcell__#C6E879,Tcell,NM
RHC4003__Bcell__#7DEA7B,Bcell,NM
RHC4005__Bcell__#7DEA7B,Bcell,NM
RHC4007__Bcell__#7DEA7B,Bcell,NM
RHC4220__Bcell__#7DEA7B,Bcell,NM
RHC4227__Epithelial__#2749FE,Epithelial,NM
RHC4240__Epithelial__#2749FE,Epithelial,NM
RHC4257__Fibroblast__#FB4E09,Fibroblast,NM
RHC4266__Tcell__#C6E879,Tcell,NM
RHC4273__Epithelial__#2749FE,Epithelial,NM
RHC4274__Epithelial__#2749FE,Epithelial,NM
RHC4276__Epithelial__#2749FE,Epithelial,NM
RHC4277__Bcell__#7DEA7B,Bcell,NM
RHC4285__Epithelial__#2749FE,Epithelial,NM
RHC4286__Epithelial__#2749FE,Epithelial,NM
RHC4289__Epithelial__#2749FE,Epithelial,NM
RHC4297__Epithelial__#2749FE,Epithelial,NM
RHC4298__Epithelial__#2749FE,Epithelial,NM
RHC4300__Epithelial__#2749FE,Epithelial,NM
RHC4304__Bcell__#7DEA7B,Bcell,NM
RHC4160__Epithelial__#2749FE,Epithelial,NM
RHC4183__Bcell__#7DEA7B,Bcell,NM
RHC4026__Epithelial__#2749FE,Epithelial,NM
RHC4028__Epithelial__#2749FE,Epithelial,NM
RHC4030__Epithelial__#2749FE,Epithelial,NM
RHC4034__Epithelial__#2749FE,Epithelial,NM
RHC4046__Epithelial__#2749FE,Epithelial,NM
RHC4048__Epithelial__#2749FE,Epithelial,NM
RHC4052__MastCell__#E596C5,MastCell,NM
RHC4055__Epithelial__#2749FE,Epithelial,NM
RHC4057__Bcell__#7DEA7B,Bcell,NM
RHC4058__Epithelial__#2749FE,Epithelial,NM
RHC4059__Fibroblast__#FB4E09,Fibroblast,NM
RHC4061__MastCell__#E596C5,MastCell,NM
RHC4062__Tcell__#C6E879,Tcell,NM
RHC4066__Epithelial__#2749FE,Epithelial,NM
RHC4070__Epithelial__#2749FE,Epithelial,NM
RHC4072__Epithelial__#2749FE,Epithelial,NM
RHC4076__Epithelial__#2749FE,Epithelial,NM
RHC4085__Epithelial__#2749FE,Epithelial,NM
RHC4087__Epithelial__#2749FE,Epithelial,NM
RHC4089__Epithelial__#2749FE,Epithelial,NM
RHC4099__Epithelial__#2749FE,Epithelial,NM
RHC4100__Macrophage__#FFFF55,Macrophage,NM
RHC4104__Epithelial__#2749FE,Epithelial,NM
RHC4107__Epithelial__#2749FE,Epithelial,NM
RHC4108__Epithelial__#2749FE,Epithelial,NM
RHC4110__Epithelial__#2749FE,Epithelial,NM
RHC4111__Epithelial__#2749FE,Epithelial,NM
RHC4112__Epithelial__#2749FE,Epithelial,NM
RHC4114__Epithelial__#2749FE,Epithelial,NM
RHC4115__Fibroblast__#FB4E09,Fibroblast,NM
RHC4117__Endothelial__#908DE5,Endothelial,NM
RHC4951__Epithelial__#2749FE,Epithelial,NM
RHC4956__Epithelial__#2749FE,Epithelial,NM
RHC4961__Epithelial__#2749FE,Epithelial,NM
RHC4963__Epithelial__#2749FE,Epithelial,NM
RHC4968__Fibroblast__#FB4E09,Fibroblast,NM
RHC4970__Epithelial__#2749FE,Epithelial,NM
RHC4971__Bcell__#7DEA7B,Bcell,NM
RHC4975__Epithelial__#2749FE,Epithelial,NM
RHC4980__Epithelial__#2749FE,Epithelial,NM
RHC4981__Epithelial__#2749FE,Epithelial,NM
RHC4984__Fibroblast__#FB4E09,Fibroblast,NM
RHC4986__Bcell__#7DEA7B,Bcell,NM
RHC4990__Epithelial__#2749FE,Epithelial,NM
RHC4992__Epithelial__#2749FE,Epithelial,NM
RHC4993__Epithelial__#2749FE,Epithelial,NM
RHC4995__Fibroblast__#FB4E09,Fibroblast,NM
RHC4996__Epithelial__#2749FE,Epithelial,NM
RHC4999__Epithelial__#2749FE,Epithelial,NM
RHC5002__Fibroblast__#FB4E09,Fibroblast,NM
RHC5003__Epithelial__#2749FE,Epithelial,NM
RHC5005__Epithelial__#2749FE,Epithelial,NM
RHC5008__Epithelial__#2749FE,Epithelial,NM
RHC5010__Epithelial__#2749FE,Epithelial,NM
RHL2799__Bcell__#7DEA7B,Bcell,NM
RHL2806__Epithelial__#2749FE,Epithelial,NM
RHL2809__Epithelial__#2749FE,Epithelial,NM
RHL2816__Epithelial__#2749FE,Epithelial,NM
RHL2819__Epithelial__#2749FE,Epithelial,NM
RHL2821__Epithelial__#2749FE,Epithelial,NM
RHL2824__MastCell__#E596C5,MastCell,NM
RHL2834__Epithelial__#2749FE,Epithelial,NM
RHL2837__Epithelial__#2749FE,Epithelial,NM
RHL2840__Epithelial__#2749FE,Epithelial,NM
RHL2844__Epithelial__#2749FE,Epithelial,NM
RHL2845__Epithelial__#2749FE,Epithelial,NM
RHL2847__Epithelial__#2749FE,Epithelial,NM
RHL2850__Epithelial__#2749FE,Epithelial,NM
RHL2852__Epithelial__#2749FE,Epithelial,NM
RHL2853__Epithelial__#2749FE,Epithelial,NM
