cohort,method,our_var,their_var,n,rho,pvalue
GSE39582,z-score module,Macrophage_TAM,CIBERSORT M1+M2 macrophages,557,0.4689370181042864,8.455989031463892e-32
GSE39582,z-score module,Macrophage_TAM,CIBERSORT M2 macrophages,557,0.3051421030311359,1.8154562024122647e-13
GSE39582,z-score module,CD8T,CIBERSORT CD8 T cells,557,0.5378789588514694,4.3414559118638536e-43
GSE39582,z-score module,Bcell_TLS,CIBERSORT naive+memory B cells,557,0.2680485592861698,1.276070904679436e-10
GSE39582,z-score module,ARGscore,CIBERSORT M1+M2 macrophages,557,0.042122877825613476,0.3210303397352318
GSE39582,z-score module,ARGscore,CIBERSORT M2 macrophages,557,0.3133375554751272,3.735954607295593e-14
GSE39582,z-score module,ARGscore,CIBERSORT CD8 T cells,557,-0.2541183318307568,1.1715593222045655e-09
GSE39582,z-score module,ARGscore,CIBERSORT naive+memory B cells,557,-0.1434101792271388,0.0006873889031939796
GSE39582,NNLS fraction,Macrophage_TAM,CIBERSORT M1+M2 macrophages,557,0.4586572937746403,2.5166495258487715e-30
GSE39582,NNLS fraction,CD8T,CIBERSORT CD8 T cells,557,0.44821794092542677,7.030343876362326e-29
GSE39582,NNLS fraction,Bcell_TLS,CIBERSORT naive+memory B cells,557,0.4849463798071568,3.389977069468911e-34
GSE17536,z-score module,Macrophage_TAM,CIBERSORT M1+M2 macrophages,177,0.46941924481916864,4.374783621733979e-11
GSE17536,z-score module,Macrophage_TAM,CIBERSORT M2 macrophages,177,0.3409319983055666,3.4246808153325722e-06
GSE17536,z-score module,CD8T,CIBERSORT CD8 T cells,177,0.5512069947754237,1.8649556402065197e-15
GSE17536,z-score module,Bcell_TLS,CIBERSORT naive+memory B cells,177,0.32696873099730955,8.915835363289074e-06
GSE17536,z-score module,ARGscore,CIBERSORT M1+M2 macrophages,177,-0.10398235833867142,0.16841016185102042
GSE17536,z-score module,ARGscore,CIBERSORT M2 macrophages,177,0.35953452563939275,8.889511404370808e-07
GSE17536,z-score module,ARGscore,CIBERSORT CD8 T cells,177,-0.42384157554496665,4.143271702428394e-09
GSE17536,z-score module,ARGscore,CIBERSORT naive+memory B cells,177,-0.02876731005207056,0.7038777364902729
GSE17536,NNLS fraction,Macrophage_TAM,CIBERSORT M1+M2 macrophages,177,0.5182670833261197,1.487034019876953e-13
GSE17536,NNLS fraction,CD8T,CIBERSORT CD8 T cells,177,0.5136773264386143,2.638289293065301e-13
GSE17536,NNLS fraction,Bcell_TLS,CIBERSORT naive+memory B cells,177,0.38958464531662124,8.338437996009726e-08
TCGA,z-score module,Macrophage_TAM,CIBERSORT M1+M2 macrophages,288,0.5733179211426321,1.4509151900056786e-26
TCGA,z-score module,Macrophage_TAM,CIBERSORT M2 macrophages,288,0.42541485589248185,4.3578201509701696e-14
TCGA,z-score module,CD8T,CIBERSORT CD8 T cells,288,0.5411992657690444,2.5852755609744658e-23
TCGA,z-score module,Bcell_TLS,CIBERSORT naive+memory B cells,288,0.20523590353390392,0.0004562511590221925
TCGA,z-score module,ARGscore,CIBERSORT M1+M2 macrophages,288,0.15633326501332243,0.007863220612608243
TCGA,z-score module,ARGscore,CIBERSORT M2 macrophages,288,0.36373340915523344,1.949480508040991e-10
TCGA,z-score module,ARGscore,CIBERSORT CD8 T cells,288,-0.4043578426498238,9.3637470420017e-13
TCGA,z-score module,ARGscore,CIBERSORT naive+memory B cells,288,-0.11525257184814156,0.05071179286739018
TCGA,NNLS fraction,Macrophage_TAM,CIBERSORT M1+M2 macrophages,314,0.5642434811343635,8.583452007822264e-28
TCGA,NNLS fraction,CD8T,CIBERSORT CD8 T cells,314,0.4835406754468018,8.35625825129949e-20
TCGA,NNLS fraction,Bcell_TLS,CIBERSORT naive+memory B cells,314,0.27668405965258003,6.329794452898923e-07
