direction,sig_id,score,pert_id,pert_desc,cell_id,pert_time,pert_dose
opposite,CPC013_ASC_24H:BRD-K16798053-001-01-0:10,-0.114035087719298,BRD-K16798053,ST4029573,ASC,24,10.0
opposite,CPC010_VCAP_24H:BRD-K34508425-001-02-0:10,-0.109649122807018,BRD-K34508425,-666,VCAP,24,10.0
opposite,CPC014_SKB_24H:BRD-K85493820-001-01-6:10,-0.100877192982456,BRD-K85493820,KM 00927,SKB,24,10.0
opposite,CPC014_VCAP_24H:BRD-K91047982-001-01-6:10,-0.100877192982456,BRD-K91047982,6302217,VCAP,24,10.0
opposite,CPC001_VCAP_24H:BRD-K31268420-001-01-1:10,-0.0964912280701754,BRD-K31268420,NSC 693868,VCAP,24,10.0
opposite,CPC012_NPC_24H:BRD-K68202742-001-06-6:10,-0.0964912280701754,BRD-K68202742,trichostatin-a,NPC,24,10.0
opposite,CPC015_SKB_24H:BRD-A50737080-001-01-4:10,-0.0921052631578947,BRD-A50737080,-666,SKB,24,10.0
opposite,CPC015_NPC_24H:BRD-K22503835-001-06-0:10,-0.0921052631578947,BRD-K22503835,-666,NPC,24,10.0
opposite,LJP001_BT20_24H:BRD-K09186807-001-02-4:0.4,-0.0921052631578947,BRD-K09186807,KIN001-244,BT20,24,0.4
opposite,CPC019_VCAP_24H:BRD-K11072542-001-06-3:10,-0.0921052631578947,BRD-K11072542,-666,VCAP,24,10.0
opposite,CPC014_SKB_24H:BRD-K56957086-001-04-8:10,-0.0921052631578947,BRD-K56957086,S1095,SKB,24,10.0
opposite,CPC004_VCAP_24H:BRD-K26801045-001-01-1:10,-0.087719298245614,BRD-K26801045,PIPAMPERONE,VCAP,24,10.0
opposite,CPC006_HA1E_24H:BRD-A02481876-001-09-9:60,-0.087719298245614,BRD-A02481876,Importazole,HA1E,24,60.0
opposite,CPC017_MCF7_24H:BRD-K29173907-001-03-5:10,-0.087719298245614,BRD-K29173907,-666,MCF7,24,10.0
opposite,ERG011_VCAP_24H:BRD-A62182663-001-01-4:10,-0.087719298245614,BRD-A62182663,YK4-279,VCAP,24,10.0
opposite,CPC013_NPC_24H:BRD-K17743125-001-03-5:10,-0.0833333333333333,BRD-K17743125,S1085,NPC,24,10.0
opposite,ERG011_VCAP_24H:BRD-A62182663-001-01-4:2,-0.0833333333333333,BRD-A62182663,YK4-279,VCAP,24,2.0
opposite,CPC009_VCAP_24H:BRD-K55127335-001-05-5:10,-0.0833333333333333,BRD-K55127335,-666,VCAP,24,10.0
opposite,CPC017_NPC_24H:BRD-K12867552-001-01-3:10,-0.0833333333333333,BRD-K12867552,-666,NPC,24,10.0
opposite,CPC012_SKB_24H:BRD-K03736784-001-01-1:10,-0.0833333333333333,BRD-K03736784,-666,SKB,24,10.0
opposite,LJP001_SKBR3_24H:BRD-K07859598-001-08-8:10,-0.0833333333333333,BRD-K07859598,GW-5074,SKBR3,24,10.0
opposite,CPC009_A375_6H:BRD-K20914082-001-01-2:10,-0.0833333333333333,BRD-K20914082,"1,2-dimethyl (3R)-4-oxo-3-(propan-2-yl)-3-(thiophen-3-yl)-1,2-diazetidine-1,2-dicarboxylate",A375,6,10.0
