sample,cnv,expr_log2,cohort
TCGA-3L-AA1B-01,-1,9.237,COAD
TCGA-4N-A93T-01,-1,6.611,COAD
TCGA-4T-AA8H-01,-1,6.818,COAD
TCGA-5M-AAT4-01,-2,8.781,COAD
TCGA-5M-AAT5-01,-1,7.66,COAD
TCGA-5M-AAT6-01,0,9.541,COAD
TCGA-5M-AATA-01,0,9.481,COAD
TCGA-5M-AATE-01,-1,8.554,COAD
TCGA-A6-2675-01,-1,9.654,COAD
TCGA-A6-2682-01,-1,8.962,COAD
TCGA-A6-2684-01,-1,9.69,COAD
TCGA-A6-2685-01,-1,9.489,COAD
TCGA-A6-2686-01,-1,8.392,COAD
TCGA-A6-4105-01,-1,8.556,COAD
TCGA-A6-5656-01,-1,7.752,COAD
TCGA-A6-5657-01,-1,9.483,COAD
TCGA-A6-5659-01,-1,8.536,COAD
TCGA-A6-5660-01,-1,8.508,COAD
TCGA-A6-5661-01,0,8.275,COAD
TCGA-A6-5662-01,-1,8.42,COAD
TCGA-A6-5664-01,-1,9.018,COAD
TCGA-A6-5665-01,0,7.212,COAD
TCGA-A6-5666-01,-1,8.387,COAD
TCGA-A6-5667-01,-1,8.907,COAD
TCGA-A6-6137-01,-1,8.29,COAD
TCGA-A6-6138-01,-1,8.5,COAD
TCGA-A6-6140-01,-1,7.878,COAD
TCGA-A6-6141-01,0,8.231,COAD
TCGA-A6-6142-01,0,9.58,COAD
TCGA-A6-6648-01,-1,8.022,COAD
TCGA-A6-6649-01,0,10.26,COAD
TCGA-A6-6650-01,-1,7.814,COAD
TCGA-A6-6651-01,-1,10.25,COAD
TCGA-A6-6652-01,0,7.686,COAD
TCGA-A6-6653-01,-1,8.973,COAD
TCGA-A6-6654-01,-1,10.22,COAD
TCGA-A6-6780-01,0,7.507,COAD
TCGA-A6-6781-01,0,10.05,COAD
TCGA-A6-6782-01,-1,9.272,COAD
TCGA-A6-A565-01,0,9.346,COAD
TCGA-A6-A566-01,0,10.63,COAD
TCGA-A6-A567-01,-1,9.275,COAD
