id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	B|B	B|Endo	B|Macro	B|Peri	B|TCD8	Endo|B	Endo|Endo	Endo|Macro	Endo|Peri	Endo|TCD8	Macro|B	Macro|Endo	Macro|Macro	Macro|Peri	Macro|TCD8	Peri|B	Peri|Endo	Peri|Macro	Peri|Peri	Peri|TCD8	TCD8|B	TCD8|Endo	TCD8|Macro	TCD8|Peri	TCD8|TCD8
CPI-SC0A2DB962D	CDH1_integrin_a2b1_complex	simple:P12830	complex:integrin_a2b1_complex	CDH1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Cadherin	0.008	0.109	0.011	0.032	0.025	0.008	0.109	0.01	0.032	0.025	0.009	0.111	0.012	0.033	0.026	0.008	0.109	0.011	0.032	0.025	0.004	0.106	0.007	0.028	0.021
CPI-SC0B5CEA47D	COL10A1_integrin_a2b1_complex	simple:Q03692	complex:integrin_a2b1_complex	COL10A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.001	0.103	0.004	0.025	0.019	0.002	0.103	0.005	0.026	0.019	0.0	0.0	0.0	0.0	0.0	0.002	0.103	0.005	0.026	0.019	0.001	0.103	0.004	0.025	0.019
CPI-SC0C8B7BCBB	COL11A1_integrin_a2b1_complex	simple:P12107	complex:integrin_a2b1_complex	COL11A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.002	0.103	0.004	0.026	0.019	0.002	0.104	0.005	0.026	0.019	0.0	0.0	0.0	0.0	0.0	0.004	0.105	0.007	0.028	0.021	0.0	0.0	0.0	0.0	0.0
CPI-SC0D3C12C3F	COL11A2_integrin_a2b1_complex	simple:P13942	complex:integrin_a2b1_complex	COL11A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.004	0.105	0.007	0.028	0.021	0.001	0.103	0.004	0.025	0.018	0.004	0.106	0.007	0.028	0.021	0.001	0.103	0.004	0.026	0.019
CPI-SC0B86B7CED	COL12A1_integrin_a2b1_complex	simple:Q99715	complex:integrin_a2b1_complex	COL12A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.102	0.204	0.105	0.126	0.119	0.002	0.104	0.005	0.026	0.019	0.276	0.378	0.279	0.3	0.293	0.0	0.0	0.0	0.0	0.0
CPI-SC0FA343CEF	COL13A1_integrin_a2b1_complex	simple:Q5TAT6	complex:integrin_a2b1_complex	COL13A1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.062	0.164	0.065	0.087	0.08	0.001	0.103	0.004	0.025	0.018	0.006	0.108	0.009	0.03	0.024	0.0	0.0	0.0	0.0	0.0
CPI-SC0CCCF9A7F	COL14A1_integrin_a2b1_complex	simple:Q05707	complex:integrin_a2b1_complex	COL14A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.016	0.118	0.019	0.04	0.033	0.0	0.0	0.0	0.0	0.0	0.397	0.499	0.4	0.421	0.415	0.0	0.0	0.0	0.0	0.0
CPI-SC0E85E1FB0	COL15A1_integrin_a2b1_complex	simple:P39059	complex:integrin_a2b1_complex	COL15A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.001	0.103	0.004	0.025	0.018	0.71	0.811	0.713	0.734	0.727	0.006	0.107	0.009	0.03	0.023	0.225	0.326	0.228	0.249	0.242	0.003	0.104	0.006	0.027	0.02
CPI-SC0956F4A31	COL16A1_integrin_a2b1_complex	simple:Q07092	complex:integrin_a2b1_complex	COL16A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.005	0.107	0.008	0.029	0.022	0.003	0.105	0.006	0.028	0.021	0.018	0.12	0.021	0.042	0.036	0.002	0.104	0.005	0.026	0.019
CPI-SC06EEEC092	COL17A1_integrin_a2b1_complex	simple:Q9UMD9	complex:integrin_a2b1_complex	COL17A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.002	0.103	0.005	0.026	0.019	0.011	0.113	0.014	0.035	0.028	0.002	0.103	0.005	0.026	0.019	0.004	0.105	0.007	0.028	0.021	0.004	0.106	0.007	0.028	0.021
