,ImmuneSignature,StromalSignature,ESTIMATEScore
GSM437093,5234.121537371246,2702.923762622382,7937.045299993628
GSM437094,3349.6750024755147,1245.9932565825693,4595.668259058084
GSM437095,3473.096126199438,710.2423236008835,4183.3384498003215
GSM437096,2789.926581184407,1457.3191282949992,4247.245709479406
GSM437097,3998.6705322998478,1955.418561031409,5954.089093331257
GSM437098,5176.207893473274,3263.1973129618254,8439.4052064351
GSM437099,4608.78153768783,230.63104077842945,4839.412578466259
GSM437100,5759.340166934848,3507.604818599726,9266.944985534574
GSM437101,3403.359436664883,396.22804412855294,3799.587480793436
GSM437102,5499.963065337501,4765.771781221476,10265.734846558977
GSM437103,5420.463280571139,3196.4433892039888,8616.906669775128
GSM437104,3137.640817257394,106.64901870729045,3244.2898359646842
GSM437105,5994.9124321424715,1955.6308919778057,7950.543324120277
GSM437106,5134.689562957246,1997.7843901334782,7132.4739530907245
GSM437107,3667.246056659518,821.4842487484111,4488.730305407929
GSM437108,4483.9842339138395,1235.174255994325,5719.1584899081645
GSM437109,6337.17330887302,3872.9644060826286,10210.137714955648
GSM437110,4994.812072927769,2116.7404461537317,7111.552519081501
GSM437111,4852.65505557717,3657.6530035509586,8510.308059128129
GSM437112,4986.491045292973,2259.886930444969,7246.377975737942
GSM437113,4327.875130717992,2960.920037311913,7288.795168029905
GSM437114,4275.24207067791,1755.5860914026416,6030.828162080552
GSM437115,3363.888786830099,1358.5466323435921,4722.435419173691
GSM437116,5882.286242245053,3446.4433090177463,9328.729551262799
GSM437117,3958.4014194296087,3086.2848516904596,7044.686271120068
GSM437118,6498.447398959714,2874.72426338112,9373.171662340834
GSM437119,4087.210322119623,5080.237333691253,9167.447655810876
GSM437120,4660.650017595894,2619.653986319976,7280.3040039158695
GSM437121,4620.39832434165,2732.3826939360406,7352.78101827769
GSM437122,3192.98724802998,2670.9590145674665,5863.946262597447
GSM437123,4813.498398423993,3133.7352029589474,7947.233601382941
GSM437124,3738.9641638889516,2453.7521680971313,6192.716331986083
GSM437125,5058.161487937985,3663.4301133355584,8721.591601273543
GSM437126,5363.257331398785,1457.3564749448578,6820.613806343643
GSM437127,4326.3149810046325,3049.1961300845705,7375.511111089203
GSM437128,3126.261075490127,1844.9242085885016,4971.185284078629
GSM437129,3964.092455248956,1077.837887962245,5041.930343211201
GSM437130,4066.3269939292986,3409.3356265541224,7475.662620483421
GSM437131,3922.486596821618,2052.324574224378,5974.811171045996
GSM437132,2529.404520668302,1869.356904356493,4398.761425024795
GSM437133,5814.867292339812,3129.257041180499,8944.12433352031
GSM437134,4122.29154462579,2634.7249984709506,6757.016543096741
GSM437135,4465.903059222013,4478.379647248503,8944.282706470516
GSM437136,3790.5872575081303,2305.531454081969,6096.118711590099
GSM437137,4090.255834841055,2761.2190086383525,6851.474843479407
GSM437138,3077.894908726963,2658.579845586788,5736.474754313751
GSM437139,3822.8042665140492,2593.2338370721354,6416.038103586185
GSM437140,3045.3357465757927,504.10862238639675,3549.4443689621894
GSM437141,4863.450898305156,2105.527073124962,6968.9779714301185
