,ImmuneSignature,StromalSignature,ESTIMATEScore
TCGA-3L-AA1B-01,1697.2477561057221,921.3692711056738,2618.617027211396
TCGA-4N-A93T-01,730.3200766227365,-1436.6452730610654,-706.3251964383289
TCGA-4T-AA8H-01,363.2825510565217,-1684.3200432172434,-1321.0374921607217
TCGA-5M-AAT4-01,358.2744077358984,-580.6944222334023,-222.42001449750387
TCGA-5M-AAT5-01,538.9448880305481,-928.0911035989939,-389.14621556844577
TCGA-5M-AAT6-01,3770.067608121768,2612.430619731107,6382.498227852875
TCGA-5M-AATA-01,1785.6385046582964,752.2059150494933,2537.8444197077897
TCGA-5M-AATE-01,948.3204513945402,-88.37486145775802,859.9455899367822
TCGA-A6-2675-01,3069.79196500541,2873.522327765795,5943.314292771205
TCGA-A6-2682-01,2235.6348420657832,1922.5337762686704,4158.168618334454
TCGA-A6-2684-01,3146.0973760190172,2543.3622869433675,5689.459662962385
TCGA-A6-2685-01,3558.399026918676,3249.143776791252,6807.542803709928
TCGA-A6-2686-01,4494.991125972436,2240.381649739704,6735.37277571214
TCGA-A6-4105-01,3250.4606775620177,2030.050336412778,5280.511013974796
TCGA-A6-5656-01,753.3572270122459,-518.5555470917006,234.8016799205452
TCGA-A6-5657-01,2658.756160066332,1991.0678171724558,4649.823977238788
TCGA-A6-5659-01,1164.9330425116605,939.0711223100188,2104.0041648216793
TCGA-A6-5660-01,1661.5401534185112,1282.2546834189052,2943.7948368374164
TCGA-A6-5661-01,1984.0184264901764,349.1409296334441,2333.1593561236205
TCGA-A6-5662-01,903.1802176659803,637.2509242483866,1540.431141914367
TCGA-A6-5664-01,3330.680454643363,2887.787101573178,6218.467556216541
TCGA-A6-5665-01,1927.781786899377,-490.9062882582384,1436.8754986411386
TCGA-A6-5666-01,687.5184903862391,-600.6800718932045,86.83841849303462
TCGA-A6-5667-01,1274.6878214652806,1154.9658592006272,2429.653680665908
TCGA-A6-6137-01,2576.8001613697743,394.55053949608737,2971.3507008658617
TCGA-A6-6138-01,4007.0711382934423,2432.7090531061203,6439.780191399563
TCGA-A6-6140-01,1602.778561797766,-473.1942497830478,1129.5843120147183
TCGA-A6-6141-01,2754.9000716298815,847.2957827128357,3602.195854342717
TCGA-A6-6142-01,2300.431217595713,2887.4041149538316,5187.835332549545
TCGA-A6-6648-01,1208.256722375716,-226.63551668891705,981.6212056867989
TCGA-A6-6649-01,2638.038839695653,1759.909587795897,4397.94842749155
TCGA-A6-6650-01,967.2833324388157,-245.03082347582495,722.2525089629908
TCGA-A6-6651-01,4185.199554030778,4183.099309834031,8368.29886386481
TCGA-A6-6652-01,596.7200095963817,-514.5997799828801,82.12022961350158
TCGA-A6-6653-01,2278.3356414725167,902.8137964245107,3181.1494378970274
TCGA-A6-6654-01,4685.949745426942,3979.3263906009743,8665.276136027916
TCGA-A6-6780-01,4518.710878239508,969.2848351149878,5487.995713354496
TCGA-A6-6781-01,4316.158919962258,4121.968669595184,8438.127589557442
TCGA-A6-6782-01,3018.026996959208,2761.386321067963,5779.413318027171
TCGA-A6-A565-01,4383.706577872941,2193.7324224332187,6577.43900030616
TCGA-A6-A566-01,4413.358176658388,4747.472524177161,9160.83070083555
TCGA-A6-A567-01,823.7996217016662,468.1459191463964,1291.9455408480626
TCGA-A6-A56B-01,760.960101162711,1073.8845154159644,1834.8446165786754
TCGA-A6-A5ZU-01,2844.128526786637,2237.1497757915604,5081.278302578197
TCGA-AA-3489-01,4590.592731509261,4263.318284278548,8853.91101578781
TCGA-AA-3492-01,2261.1237987100285,878.4456680731109,3139.5694667831394
TCGA-AA-3495-01,2164.2314220251264,434.3059497638096,2598.537371788936
TCGA-AA-3496-01,3321.915981656053,2462.971045549213,5784.887027205266
TCGA-AA-3502-01,2131.3547820219264,-784.3874469668881,1346.9673350550383
TCGA-AA-3506-01,2599.3048645480067,1098.3813751893758,3697.6862397373825
TCGA-AA-3509-01,2263.047334777215,878.317992600978,3141.365327378193
TCGA-AA-3511-01,1751.8667219771069,1859.7537345899018,3611.6204565670087
TCGA-AA-3526-01,2678.0877772997355,980.5332245213831,3658.6210018211186
TCGA-AA-3655-01,1968.2125502789386,1112.1412719301352,3080.3538222090738
TCGA-AA-3660-01,1565.8467534686733,657.603535519238,2223.4502889879113
TCGA-AA-3662-01,2790.607266671537,1356.8282721419946,4147.435538813532
TCGA-AA-3663-01,2119.656198170407,246.7762967743638,2366.432494944771
TCGA-AA-3675-01,1612.5099087378348,370.52727506839256,1983.0371838062274
TCGA-AA-3685-01,3360.613375610732,1303.2794407227266,4663.8928163334585
TCGA-AA-3697-01,2115.839811421847,508.1656087071515,2624.0054201289986
TCGA-AA-3712-01,1797.13130661775,1576.4450745923186,3373.5763812100686
TCGA-AA-3713-01,3104.7675736867477,851.1967596441827,3955.9643333309305
TCGA-AA-A01P-01,4313.729654928766,2460.3867759400346,6774.1164308688
TCGA-AA-A01X-01,1043.7443179910733,19.416085505552473,1063.1604034966258
TCGA-AA-A01Z-01,336.5518503734711,-493.17934092793075,-156.62749055445965
TCGA-AA-A02K-01,913.9350810558408,-648.2778418583584,265.65723919748234
TCGA-AA-A02Y-01,1895.8648361721444,-1937.9346479113683,-42.06981173922395
TCGA-AD-5900-01,3016.055939300313,1713.975126002024,4730.031065302337
TCGA-AD-6548-01,3095.544523466131,1772.8219978111847,4868.366521277316
TCGA-AD-6888-01,780.405075845074,-1914.6181083982083,-1134.2130325531343
TCGA-AD-6889-01,1446.7768459819108,-66.31046177037388,1380.466384211537
TCGA-AD-6890-01,1611.8676712374272,707.8892975709732,2319.7569688084004
TCGA-AD-6895-01,2754.4292720840385,1335.7128501148109,4090.1421221988494
TCGA-AD-6899-01,3380.971114157872,2799.4726623566294,6180.443776514501
TCGA-AD-6901-01,2830.113929246081,2896.143201786361,5726.257131032442
TCGA-AD-6963-01,2509.5500622452637,113.4660695818493,2623.016131827113
TCGA-AD-6964-01,4658.902181722859,3452.8980428161813,8111.80022453904
TCGA-AD-6965-01,1059.7728420884177,403.8228193979503,1463.595661486368
TCGA-AD-A5EJ-01,1409.0567482291553,419.6811181129269,1828.7378663420823
TCGA-AD-A5EK-01,679.7312983122447,157.69843247902827,837.429730791273
TCGA-AF-2687-01,3567.941844317251,3926.9082898621054,7494.850134179356
TCGA-AF-2690-01,5045.712937083554,4744.813970920948,9790.526908004502
TCGA-AF-2693-01,2459.8675334540458,1181.6616185163912,3641.529151970437
TCGA-AF-3911-01,1831.9830358480867,1358.2458061182915,3190.2288419663782
TCGA-AF-4110-01,3363.489528201577,2134.4553064064567,5497.9448346080335
TCGA-AF-5654-01,743.1704914415004,-345.3475692801767,397.82292216132373
TCGA-AF-6136-01,1539.277573254025,343.09443136105256,1882.3720046150775
TCGA-AF-6655-01,1679.7275098500559,2207.6356253955964,3887.3631352456523
TCGA-AF-6672-01,1388.7960516895546,-109.10089775137203,1279.6951539381826
TCGA-AF-A56K-01,2350.043532874268,2206.5353376641324,4556.5788705384
TCGA-AF-A56L-01,1177.6661817955464,856.6878154874667,2034.353997283013
TCGA-AF-A56N-01,1410.8762050810037,1302.5884701263458,2713.4646752073495
TCGA-AG-3591-01,1827.9212225731662,-84.33769182778633,1743.58353074538
TCGA-AG-3592-01,1922.2675432280848,909.3296651252494,2831.5972083533343
TCGA-AG-3725-01,1616.4855148870774,-383.86264738049977,1232.6228675065777
TCGA-AG-3731-01,3761.2232026143574,3286.7705320834684,7047.993734697826
TCGA-AG-3732-01,3114.686788902758,521.4935807718048,3636.180369674563
TCGA-AG-3742-01,1209.597740144416,1221.299005751849,2430.896745896265
TCGA-AG-3902-01,3560.2650228291204,707.3917191037453,4267.656741932866
TCGA-AG-4021-01,1575.553054843269,1950.0527680851555,3525.6058229284245
TCGA-AG-4022-01,2809.616926428367,2155.9835281545365,4965.600454582904
TCGA-AH-6544-01,251.7074661637016,-1270.0253931096777,-1018.3179269459761
TCGA-AH-6547-01,4424.190559416809,2751.1511630569876,7175.341722473797
TCGA-AH-6549-01,1701.5980631878792,1624.4082513765716,3326.006314564451
TCGA-AH-6643-01,1413.0439464156134,634.5935480795233,2047.6374944951367
TCGA-AH-6644-01,2233.6193405537706,2444.8859557511496,4678.50529630492
TCGA-AH-6897-01,790.05277740573,-574.2669661352211,215.78581127050893
TCGA-AH-6903-01,1004.6176237531472,-662.8492360738273,341.76838767931986
TCGA-AM-5820-01,1173.1636059179655,926.8038387534089,2099.9674446713743
TCGA-AM-5821-01,3465.202310158438,1359.0180934826876,4824.220403641126
TCGA-AU-3779-01,3073.37610730137,1624.5276682124404,4697.903775513811
TCGA-AU-6004-01,3378.4700860946687,1967.4074762089222,5345.877562303591
TCGA-AY-5543-01,2215.2924867730217,-275.3370013865533,1939.9554853864684
TCGA-AY-6196-01,5936.4219256138895,5201.20952922853,11137.63145484242
TCGA-AY-6197-01,1926.3127161695156,-212.96674332417933,1713.3459728453363
TCGA-AY-6386-01,2202.2498376762433,87.09526825824287,2289.345105934486
TCGA-AY-A54L-01,122.53306576688556,-1922.031326933322,-1799.4982611664364
TCGA-AY-A69D-01,1169.4879427353553,35.63874945545467,1205.12669219081
TCGA-AY-A71X-01,156.26776628980042,-2181.241002046826,-2024.9732357570256
TCGA-AY-A8YK-01,1150.9810950093906,-198.50307305043134,952.4780219589593
TCGA-AZ-4313-01,735.1430345307381,-374.9717926911617,360.1712418395764
TCGA-AZ-4315-01,2038.7575796151032,843.6182336380461,2882.3758132531493
TCGA-AZ-4323-01,4866.352198904511,2384.5154700987823,7250.8676690032935
TCGA-AZ-4614-01,996.9436102096861,-1248.7196668849083,-251.7760566752222
TCGA-AZ-4615-01,3652.0634988011006,1922.717264029894,5574.780762830995
TCGA-AZ-4616-01,2110.3418267960697,634.1013671542369,2744.4431939503065
TCGA-AZ-4682-01,1355.1585757698485,-84.72890469490267,1270.4296710749459
TCGA-AZ-4684-01,2664.579381540376,1737.4109338201615,4401.990315360537
TCGA-AZ-5403-01,1692.9638387465966,1792.9644074895823,3485.928246236179
TCGA-AZ-5407-01,2127.724447135626,-666.7284580557189,1460.9959890799073
TCGA-AZ-6598-01,2717.54369963751,579.6283983397898,3297.1720979773
TCGA-AZ-6599-01,646.0245899560905,-1796.9728639552595,-1150.948273999169
TCGA-AZ-6600-01,2737.1308047388648,2217.6449710227353,4954.7757757616
TCGA-AZ-6601-01,3776.274854615109,2143.223704660146,5919.498559275255
TCGA-AZ-6603-01,2439.1797686769696,1902.5600873397125,4341.739856016682
TCGA-AZ-6605-01,3446.1345172193123,3411.3257802918542,6857.460297511167
TCGA-AZ-6606-01,1143.4966242987284,-809.1285112539317,334.3681130447967
TCGA-AZ-6607-01,3258.356264355576,3621.015746670524,6879.3720110261
TCGA-AZ-6608-01,476.1137256153015,-1943.5446500849466,-1467.430924469645
TCGA-BM-6198-01,3276.117293829566,1860.3590009279978,5136.476294757564
TCGA-CA-5254-01,1354.1155088415344,1140.3973896937641,2494.5128985352985
