family,cohort,test,n,rho,pvalue,qvalue_fdr_bh,significant_raw_p05,significant_fdr_q05
A_ARGscore_vs_modules,GSE39582,Macrophage_TAM,585,0.23055830279403144,1.693578560247778e-08,2.5403678403716672e-08,True,True
A_ARGscore_vs_modules,GSE39582,Endothelial,585,0.3620615557241861,1.4679429110516392e-19,5.504785916443647e-19,True,True
A_ARGscore_vs_modules,GSE39582,Pericyte,585,0.4852302465561618,6.977139189939295e-36,5.232854392454471e-35,True,True
A_ARGscore_vs_modules,GSE39582,CD8T,585,-0.25248030679560907,5.856211274507798e-10,1.0980396139702122e-09,True,True
A_ARGscore_vs_modules,GSE39582,Bcell_TLS,585,-0.1808302494332697,1.0791464525777962e-05,1.4715633444242676e-05,True,True
A_ARGscore_vs_modules,GSE17536,Macrophage_TAM,177,0.12203086857914511,0.10564853103104076,0.11319485467611509,False,False
A_ARGscore_vs_modules,GSE17536,Endothelial,177,0.23242109728017174,0.0018519839259606926,0.0023149799074508657,True,True
A_ARGscore_vs_modules,GSE17536,Pericyte,177,0.5458462457367428,3.930364653345787e-15,8.422209971455258e-15,True,True
A_ARGscore_vs_modules,GSE17536,CD8T,177,-0.5771476428732191,4.159855376980813e-17,1.0399638442452032e-16,True,True
A_ARGscore_vs_modules,GSE17536,Bcell_TLS,177,-0.41913445058084176,6.38677661611285e-09,1.0644627693521416e-08,True,True
A_ARGscore_vs_modules,TCGA-COAD/READ,Macrophage_TAM,380,0.42047922040573976,1.0333105513357798e-17,3.09993165400734e-17,True,True
A_ARGscore_vs_modules,TCGA-COAD/READ,Endothelial,380,0.4633658711005799,1.2699814093668016e-21,6.349907046834008e-21,True,True
A_ARGscore_vs_modules,TCGA-COAD/READ,Pericyte,380,0.6520113676250128,2.2770808417102144e-47,3.4156212625653218e-46,True,True
A_ARGscore_vs_modules,TCGA-COAD/READ,CD8T,380,-0.13566160430473895,0.008095233469363312,0.009340654003111515,True,True
A_ARGscore_vs_modules,TCGA-COAD/READ,Bcell_TLS,380,-0.08099400017714076,0.11496755098398917,0.11496755098398917,False,False
B_NNLS_vs_ARGscore,GSE39582,Bcell_TLS,585,-0.3349042342637182,8.467494788649822e-17,1.7781739056164628e-16,True,True
B_NNLS_vs_ARGscore,GSE39582,CD8T,585,-0.4723394244105825,7.6350501408220025e-34,1.6033605295726207e-32,True,True
B_NNLS_vs_ARGscore,GSE39582,Endothelial,585,0.3487579285302414,3.571724265712323e-18,9.375776197494848e-18,True,True
B_NNLS_vs_ARGscore,GSE39582,Epithelial,585,-0.2560229257550311,3.296354783623803e-10,4.614896697073324e-10,True,True
B_NNLS_vs_ARGscore,GSE39582,Fibroblast,585,0.3956571112661479,2.316353794585926e-23,1.2160857421576111e-22,True,True
B_NNLS_vs_ARGscore,GSE39582,Macrophage_TAM,585,0.112069407831248,0.0066606304844834,0.007770735565230634,True,True
B_NNLS_vs_ARGscore,GSE39582,Pericyte,585,0.411321425646745,2.7329375040328385e-25,1.913056252822987e-24,True,True
B_NNLS_vs_ARGscore,GSE17536,Bcell_TLS,177,-0.4381178476826925,1.0700434168496447e-09,1.4044319846151587e-09,True,True
B_NNLS_vs_ARGscore,GSE17536,CD8T,177,-0.6952831495299597,6.834276909063199e-27,7.175990754516359e-26,True,True
B_NNLS_vs_ARGscore,GSE17536,Endothelial,177,0.2706345977389588,0.0002691900181611,0.00033252884596371175,True,True
B_NNLS_vs_ARGscore,GSE17536,Epithelial,177,-0.0068709856131299,0.9276785966844112,0.9276785966844112,False,False
B_NNLS_vs_ARGscore,GSE17536,Fibroblast,177,0.4997946818543313,1.4196646568063701e-12,2.7102688902667064e-12,True,True
B_NNLS_vs_ARGscore,GSE17536,Macrophage_TAM,177,-0.0490188016135454,0.5170355533511746,0.5428873310187333,False,False
B_NNLS_vs_ARGscore,GSE17536,Pericyte,177,0.4596010173393064,1.2350976884727435e-10,1.8526465327091153e-10,True,True
B_NNLS_vs_ARGscore,TCGA_COADREAD,Bcell_TLS,434,-0.0650292345267787,0.1762931293192843,0.19485030082657737,False,False
B_NNLS_vs_ARGscore,TCGA_COADREAD,CD8T,434,-0.3180447323539127,1.172637359748402e-11,1.8942603503628032e-11,True,True
B_NNLS_vs_ARGscore,TCGA_COADREAD,Endothelial,434,0.4120872599746996,3.20529037353864e-19,9.615871120615921e-19,True,True
B_NNLS_vs_ARGscore,TCGA_COADREAD,Epithelial,434,-0.4196075363046909,6.148842553297981e-20,2.1520948936542933e-19,True,True
B_NNLS_vs_ARGscore,TCGA_COADREAD,Fibroblast,434,0.4207563791392606,4.7604841896168234e-20,1.999403359639066e-19,True,True
B_NNLS_vs_ARGscore,TCGA_COADREAD,Macrophage_TAM,434,0.3242669647605077,4.3960095200257745e-12,7.693016660045106e-12,True,True
B_NNLS_vs_ARGscore,TCGA_COADREAD,Pericyte,434,0.3945900034031169,1.2755542322722609e-17,2.976293208635276e-17,True,True
C_vs_original_CIBERSORT,GSE39582,z-score module | Macrophage_TAM vs CIBERSORT M1+M2 macrophages,557,0.4689370181042864,8.455989031463892e-32,9.30158793461028e-31,True,True
C_vs_original_CIBERSORT,GSE39582,z-score module | Macrophage_TAM vs CIBERSORT M2 macrophages,557,0.3051421030311359,1.815456202412265e-13,4.279289619971767e-13,True,True
C_vs_original_CIBERSORT,GSE39582,z-score module | CD8T vs CIBERSORT CD8 T cells,557,0.5378789588514694,4.3414559118638536e-43,1.4326804509150716e-41,True,True
C_vs_original_CIBERSORT,GSE39582,z-score module | Bcell_TLS vs CIBERSORT naive+memory B cells,557,0.2680485592861698,1.276070904679436e-10,2.339463325245633e-10,True,True
C_vs_original_CIBERSORT,GSE39582,z-score module | ARGscore vs CIBERSORT M1+M2 macrophages,557,0.0421228778256134,0.3210303397352318,0.3310625378519578,False,False
C_vs_original_CIBERSORT,GSE39582,z-score module | ARGscore vs CIBERSORT M2 macrophages,557,0.3133375554751272,3.735954607295593e-14,1.120786382188678e-13,True,True
C_vs_original_CIBERSORT,GSE39582,z-score module | ARGscore vs CIBERSORT CD8 T cells,557,-0.2541183318307568,1.1715593222045655e-09,1.933072881637533e-09,True,True
C_vs_original_CIBERSORT,GSE39582,z-score module | ARGscore vs CIBERSORT naive+memory B cells,557,-0.1434101792271388,0.0006873889031939,0.0008101369216213821,True,True
C_vs_original_CIBERSORT,GSE39582,NNLS fraction | Macrophage_TAM vs CIBERSORT M1+M2 macrophages,557,0.4586572937746403,2.5166495258487715e-30,2.0762358588252363e-29,True,True
C_vs_original_CIBERSORT,GSE39582,NNLS fraction | CD8T vs CIBERSORT CD8 T cells,557,0.4482179409254267,7.030343876362326e-29,4.640026958399135e-28,True,True
C_vs_original_CIBERSORT,GSE39582,NNLS fraction | Bcell_TLS vs CIBERSORT naive+memory B cells,557,0.4849463798071568,3.3899770694689114e-34,5.5934621646237034e-33,True,True
