,top_celltype,zscore,Bcell,Tcell,Epithelial,Fibroblast,MastCell,Macrophage,Endothelial
APOH,Epithelial,1.63,0.0,0.05,0.05,0.0,0.0,0.0,0.0
APP,MastCell,1.2,0.69,0.45,2.73,2.34,3.0,0.86,2.1
CCND2,Tcell,1.64,1.31,5.3,2.39,3.79,3.65,1.01,1.98
COL3A1,Fibroblast,2.26,0.0,0.33,0.07,8.17,0.16,0.55,0.0
COL5A2,Fibroblast,2.16,0.03,0.18,0.05,3.39,0.06,0.57,1.04
CXCL6,Fibroblast,2.13,0.0,0.11,0.03,0.7,0.0,0.25,0.0
FGFR1,Fibroblast,2.08,0.26,0.05,0.25,2.95,0.0,0.99,0.99
FSTL1,Fibroblast,2.01,0.16,0.0,0.07,5.14,0.0,0.1,2.54
ITGAV,Endothelial,1.88,0.96,0.41,0.8,2.17,2.26,0.7,4.06
JAG1,Endothelial,1.71,0.01,0.13,0.82,1.57,0.0,0.49,2.2
JAG2,Endothelial,2.25,0.07,0.12,0.21,0.0,0.0,0.0,1.84
KCNJ8,Epithelial,2.27,0.0,0.0,0.01,0.0,0.0,0.0,0.0
LPL,Epithelial,1.83,0.0,0.0,0.08,0.05,0.0,0.0,0.0
LRPAP1,Bcell,1.4,1.3,0.63,0.67,0.78,0.33,1.11,0.03
LUM,Fibroblast,2.27,0.1,0.33,0.09,6.22,0.02,0.19,0.0
MSX1,Endothelial,2.11,0.04,0.0,0.33,0.71,0.0,0.23,1.94
NRP1,Fibroblast,1.24,0.69,0.44,0.19,2.67,0.0,2.45,2.2
OLR1,Macrophage,2.25,0.05,0.0,0.04,0.28,0.0,2.3,0.0
PDGFA,Fibroblast,1.75,0.44,0.84,2.97,4.46,0.0,0.73,2.07
PF4,Epithelial,1.81,0.0,0.0,0.52,0.35,0.0,0.0,0.0
PGLYRP1,Bcell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSTN,Fibroblast,2.25,0.0,0.23,0.05,1.9,0.0,0.0,0.0
PRG2,Endothelial,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.77
PTK2,Endothelial,1.53,1.53,0.57,2.38,2.52,2.37,1.18,3.51
S100A4,MastCell,1.03,1.79,6.21,1.31,6.15,6.85,5.83,2.86
SERPINA5,Fibroblast,2.19,0.02,0.0,0.02,0.11,0.0,0.0,0.0
SLCO2A1,Endothelial,2.26,0.14,0.11,0.41,0.13,0.0,0.16,5.0
SPP1,Macrophage,2.19,0.3,0.31,0.36,0.53,0.0,2.16,0.0
STC1,Macrophage,1.25,0.24,0.0,0.05,0.0,0.18,0.24,0.0
THBD,Macrophage,1.54,0.03,0.03,0.03,0.17,0.0,2.09,1.94
TIMP1,Fibroblast,1.76,0.52,1.54,3.07,8.81,0.0,4.85,4.86
TNFRSF21,Epithelial,1.72,0.03,0.12,0.99,0.75,0.0,0.2,0.0
VAV2,MastCell,2.15,0.01,0.0,0.17,0.0,0.51,0.0,0.0
VCAN,Fibroblast,1.59,0.04,0.14,0.09,4.3,0.0,3.61,1.48
VEGFA,Endothelial,1.5,1.14,0.54,2.59,1.31,1.43,2.34,3.19
VTN,Epithelial,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSIG4,Macrophage,2.27,0.05,0.05,0.01,0.0,0.0,2.82,0.0
CXCL10,Macrophage,1.63,0.3,0.24,0.09,0.51,0.0,0.69,0.0
CXCL13,Tcell,2.26,0.0,0.7,0.04,0.0,0.0,0.0,0.0
MEIS2,MastCell,1.58,0.63,0.31,0.38,2.55,4.17,0.0,3.0
ZNF532,Endothelial,1.62,1.32,0.14,0.24,2.28,0.0,0.25,2.92
