,CXCL13,VSIG4,CXCL10,MEIS2,FOXP3,ZNF532,CXCR5,CD4,CD8A,CD8B,MS4A1,Global_Cluster,Sub_Cluster
N_T_P0104_00001,0.0,0.0,3.478302252952791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00002,0.0,0.0,0.0,1.8440604014664805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00004,0.0,0.0,3.286860451314457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00005,0.0,0.0,0.0,0.776813465508195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00006,0.0,0.0,0.0,1.4105779071176905,0.0,0.0,0.0,2.7910107933367763,0.0,0.0,2.2247554742709794,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00007,0.0,0.0,2.230135143333067,1.8341070599083018,0.0,2.659081243966904,0.0,0.0,0.0,0.0,0.0,Fibroblast,hF01_Myofib-ACTA2
N_T_P0104_00008,0.0,0.0,0.0,0.0,0.0,2.8946882490383814,0.8102069271965339,3.2106291063445678,0.0,0.0,0.0,Fibroblast,hF01_Myofib-ACTA2
N_T_P0104_00009,0.0,0.0,0.0,2.3042008338073514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE04_Goblet-REG4
N_T_P0104_00012,0.0,0.0,0.0,3.341824188438179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00014,0.0,0.0,0.0,0.0,0.0,2.9978189114146816,0.0,0.0,0.0,0.0,2.3484720566237085,Epithelial cell,hE05_Stemlike-LGR5
N_T_P0104_00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00017,0.0,0.0,3.4534670064946,0.0,0.0,0.0,1.8970129842433296,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00019,0.0,0.0,3.328135375215265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE04_Goblet-REG4
N_T_P0104_00020,0.0,0.0,3.4384600666252343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00022,0.0,0.0,3.315466372645751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00023,0.0,0.0,3.3377702482412306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.111246259585522,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00024,0.0,0.0,0.0,0.0,0.0,1.5032600595907675,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9616284712352126,Epithelial cell,hE06_UnIdent
N_T_P0104_00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.245478864009332,0.0,1.484066498165938,Epithelial cell,hE03_Goblet-SPINK4
N_T_P0104_00029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00030,0.0,0.0,0.0,1.6012294123795807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00031,0.0,0.0,0.0,3.3156592435125276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
N_T_P0104_00032,0.0,0.0,0.0,0.0,0.0,3.131158415763784,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE06_UnIdent
N_T_P0104_00033,0.0,0.0,0.0,0.0,0.0,1.46123434646271,0.0,0.0,0.0,0.0,0.0,Epithelial cell,hE02_Enterocyte-GUCA2B
