Patient	ACTA2	APOE	C1QA	C1QB	CD163	CD19	CD3D	CD3E	CD68	CD79A	CD79B	CD8A	CD8B	CDH5	CLDN5	CR2	CSF1R	CXCL10	CXCL13	ENG	GZMK	MEIS2	MRC1	MS4A1	MSR1	MYH11	NOTCH3	PDGFRB	PECAM1	RGS5	TAGLN	VSIG4	VWF	ZNF532
P01	19.0	11.0	23.0	23.0	106.0	12.0	1025.0	1819.0	333.0	72.0	27.0	1789.0	424.0	4.0	3.0	7.0	45.0	43.0	29.0	33.0	1011.0	1.0	21.0	63.0	3.0	3.0	0.0	4.0	91.0	9.0	59.0	2.0	12.0	8.0
P02	437.0	3342.0	1057.0	856.0	720.0	198.0	4741.0	5732.0	2364.0	2320.0	369.0	1919.0	965.0	148.0	65.0	28.0	335.0	1330.0	8060.0	954.0	4269.0	159.0	528.0	1850.0	369.0	7.0	120.0	318.0	993.0	406.0	1153.0	38.0	684.0	53.0
P03	924.0	588.0	510.0	495.0	22.0	1080.0	7282.0	9028.0	3801.0	11061.0	712.0	3056.0	981.0	50.0	85.0	166.0	145.0	282.0	304.0	431.0	1944.0	132.0	98.0	4497.0	17.0	65.0	62.0	131.0	582.0	500.0	1820.0	71.0	233.0	70.0
P04	10189.0	426.0	24.0	39.0	2.0	66.0	22517.0	24929.0	402.0	916.0	782.0	7347.0	1918.0	594.0	291.0	49.0	57.0	573.0	11087.0	2134.0	6434.0	73.0	59.0	383.0	10.0	363.0	358.0	586.0	2820.0	6183.0	7436.0	9.0	2031.0	140.0
P05	436.0	991.0	211.0	124.0	13.0	477.0	5280.0	9423.0	274.0	14092.0	1062.0	5067.0	1951.0	3.0	6.0	85.0	51.0	60.0	9.0	97.0	1130.0	79.0	44.0	1281.0	10.0	57.0	10.0	32.0	704.0	162.0	514.0	15.0	2.0	30.0
P08	710.0	1503.0	319.0	236.0	10.0	1518.0	8791.0	12649.0	449.0	16986.0	1142.0	6737.0	2789.0	23.0	88.0	295.0	45.0	374.0	467.0	273.0	4862.0	80.0	48.0	6014.0	16.0	171.0	18.0	57.0	894.0	264.0	1290.0	9.0	135.0	65.0
P09	3199.0	1162.0	678.0	1000.0	107.0	180.0	6828.0	7996.0	1052.0	1938.0	385.0	4325.0	1378.0	162.0	161.0	46.0	167.0	573.0	4909.0	862.0	1199.0	109.0	224.0	710.0	116.0	114.0	377.0	539.0	747.0	7628.0	2637.0	36.0	598.0	108.0
P12	311.0	92.0	56.0	70.0	0.0	39.0	3442.0	2848.0	75.0	690.0	123.0	239.0	133.0	122.0	126.0	9.0	9.0	61.0	872.0	410.0	193.0	24.0	19.0	52.0	4.0	14.0	129.0	107.0	460.0	817.0	324.0	1.0	724.0	36.0
P14	939.0	1379.0	339.0	288.0	21.0	202.0	2158.0	2938.0	183.0	3796.0	189.0	1498.0	869.0	7.0	57.0	60.0	33.0	41.0	28.0	134.0	738.0	61.0	31.0	662.0	17.0	194.0	25.0	48.0	254.0	579.0	859.0	21.0	20.0	17.0
P15	1210.0	1904.0	408.0	403.0	29.0	797.0	18321.0	21541.0	531.0	8023.0	990.0	7122.0	3470.0	67.0	72.0	514.0	25.0	391.0	2924.0	473.0	5088.0	249.0	34.0	2798.0	24.0	106.0	86.0	173.0	892.0	539.0	1232.0	7.0	328.0	78.0
P16	2038.0	7939.0	680.0	600.0	95.0	735.0	3842.0	5333.0	920.0	10122.0	508.0	2259.0	640.0	31.0	132.0	301.0	100.0	339.0	31.0	330.0	1100.0	82.0	144.0	2918.0	57.0	499.0	39.0	144.0	573.0	555.0	3044.0	27.0	65.0	86.0
P17	325.0	504.0	1112.0	1203.0	88.0	22.0	1939.0	2399.0	901.0	241.0	89.0	906.0	462.0	293.0	130.0	35.0	154.0	39.0	15.0	955.0	684.0	128.0	94.0	92.0	33.0	29.0	60.0	74.0	1476.0	229.0	537.0	43.0	1442.0	76.0
P18	1021.0	339.0	133.0	133.0	43.0	2.0	1130.0	1115.0	917.0	32.0	54.0	526.0	187.0	203.0	112.0	0.0	197.0	301.0	732.0	658.0	302.0	292.0	122.0	3.0	33.0	77.0	101.0	66.0	788.0	543.0	1098.0	10.0	667.0	44.0
P19	760.0	341.0	87.0	93.0	25.0	34.0	1780.0	1780.0	398.0	565.0	98.0	654.0	299.0	162.0	115.0	7.0	22.0	301.0	552.0	533.0	767.0	50.0	16.0	70.0	9.0	128.0	105.0	189.0	831.0	1011.0	1177.0	4.0	560.0	76.0
P20	193.0	327.0	109.0	131.0	17.0	156.0	6752.0	7116.0	290.0	3781.0	356.0	2818.0	1089.0	66.0	69.0	64.0	18.0	880.0	3306.0	304.0	2051.0	25.0	59.0	300.0	8.0	20.0	64.0	54.0	924.0	147.0	367.0	3.0	332.0	84.0
P21	7273.0	329.0	297.0	257.0	23.0	61.0	8530.0	12115.0	940.0	452.0	457.0	5749.0	2010.0	799.0	694.0	26.0	119.0	1075.0	2398.0	3463.0	3237.0	55.0	82.0	179.0	20.0	186.0	231.0	449.0	4090.0	4358.0	4956.0	12.0	3170.0	120.0
P22	606.0	535.0	249.0	264.0	13.0	920.0	3882.0	4969.0	416.0	11022.0	1189.0	1412.0	706.0	116.0	270.0	277.0	47.0	181.0	971.0	321.0	1155.0	52.0	50.0	3515.0	17.0	116.0	50.0	83.0	1272.0	586.0	765.0	8.0	309.0	57.0
P23	963.0	258.0	155.0	126.0	14.0	328.0	2626.0	3458.0	326.0	3662.0	528.0	1168.0	555.0	104.0	252.0	247.0	34.0	135.0	1196.0	482.0	774.0	154.0	52.0	1427.0	3.0	77.0	88.0	162.0	823.0	1273.0	814.0	6.0	459.0	42.0
P25	272.0	476.0	100.0	128.0	8.0	227.0	1846.0	2542.0	153.0	2019.0	330.0	417.0	224.0	22.0	34.0	115.0	9.0	155.0	1.0	99.0	809.0	28.0	38.0	1412.0	4.0	107.0	1.0	18.0	239.0	48.0	253.0	7.0	164.0	16.0
P26	124.0	156.0	164.0	139.0	8.0	241.0	6431.0	6026.0	192.0	5033.0	450.0	2380.0	728.0	33.0	24.0	83.0	13.0	521.0	4384.0	156.0	3271.0	20.0	30.0	789.0	2.0	24.0	27.0	40.0	920.0	69.0	121.0	6.0	236.0	67.0
