,Bcell,Tcell,Epithelial,Fibroblast,MastCell,Macrophage,Endothelial,n_cells
APOH,0.0,0.04646807521941993,0.054995967902269655,0.0,0.0,0.0,0.0,
APP,0.6916323736539283,0.4480154060537047,2.7279720147253474,2.344919339039829,2.9982045047893893,0.8649211658898032,2.101941043964302,
CCND2,1.3130434345046806,5.297085395073062,2.3852385215736427,3.787264297759262,3.6454055342411835,1.0123897051182955,1.9800709698749117,
COL3A1,0.0,0.3277568448924513,0.06601178195252326,8.168777099008265,0.16198242065639415,0.55371791919051,0.0,
COL5A2,0.028737005500649497,0.17628206910898797,0.053973403040901674,3.391575924056601,0.061170627660768084,0.5737926805322242,1.0390950493409223,
CXCL6,0.0,0.10545151150034612,0.033419418044639444,0.6980009899175799,0.0,0.24512297494550675,0.0,
FGFR1,0.2645392000558681,0.049861866195334996,0.24775071739575716,2.9451175764692783,0.0,0.9938928562165054,0.9907437645302896,
FSTL1,0.16242655791867705,0.0,0.06739324547046205,5.144756792863934,0.0,0.10030962427693386,2.5367196896085615,
ITGAV,0.9631973609457828,0.40883147354704696,0.8036906136617711,2.1701178242121864,2.255192855392754,0.698724045960718,4.063793451794589,
JAG1,0.011774173800807601,0.12941317348165735,0.8240202145667487,1.567414774775018,0.0,0.4895340067796704,2.2038230603075832,
JAG2,0.06652373648572975,0.12364782640258731,0.21405614290411906,0.0,0.0,0.0,1.8413920057436168,
KCNJ8,0.0,0.0,0.006054351530281032,0.0,0.0,0.0,0.0,
LPL,0.0,0.0,0.07581628279880633,0.05037173668361368,0.0,0.0,0.0,
LRPAP1,1.2966864625703836,0.6298500350956238,0.6691166774790162,0.7833099990227844,0.3329091083031164,1.1083374357517264,0.033441245557734964,
LUM,0.1031809965528066,0.32570427146429587,0.09254934943812357,6.224207881787178,0.021028349311302662,0.19387991406081134,0.0,
MSX1,0.03785633867813102,0.0,0.33382208800824126,0.7119547464114665,0.0,0.23178985442844943,1.935034172485307,
NRP1,0.6888501190852979,0.4392010335950403,0.1895721916500983,2.6744252101923767,0.0,2.449967608669044,2.200499666150657,
OLR1,0.05116217522802586,0.0,0.0381420751750469,0.27931798709431993,0.0,2.3003726769711172,0.0,
PDGFA,0.4425855819371069,0.8384595607619856,2.9681795729625113,4.463792525992058,0.0,0.7293448665692958,2.066205608081434,
PF4,0.0,0.0,0.5181354031145842,0.351212407981107,0.0,0.0,0.0,
PGLYRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
POSTN,0.0,0.22508286708320524,0.05060453770474333,1.9011782647759021,0.0,0.0,0.0,
PRG2,0.0,0.0,0.0,0.0,0.0,0.0,0.7705157140373738,
PTK2,1.534037220993464,0.5670175684330616,2.3844256299822173,2.5160295740232694,2.3737785962416402,1.176444516191782,3.5093588527253714,
S100A4,1.7941240504235403,6.20836933792511,1.3101943094592339,6.153856697895636,6.848463632598936,5.825932006120616,2.8558195733041516,
SERPINA5,0.02277789589635921,0.0,0.021823804471085253,0.11129010688684692,0.0,0.0,0.0,
SLCO2A1,0.13721527026512184,0.106339882910453,0.40787983882566076,0.12754668537192226,0.0,0.1628502509717781,4.999107229380303,
SPP1,0.30123934603970537,0.3059858623972265,0.3607119533406417,0.5320289078817512,0.0,2.158898919011801,0.0,
STC1,0.23939028246749053,0.0,0.054620732238094584,0.0,0.1756958533990567,0.24404323042611603,0.0,
THBD,0.028891987568858062,0.025992291712328953,0.027129196420054808,0.1650681916246987,0.0,2.0863581213883995,1.9403607908601135,
TIMP1,0.5185054486319698,1.543181282134901,3.0736030271523793,8.807387288348462,0.0,4.846955658292294,4.857020241746412,
TNFRSF21,0.03253264462010962,0.11677509726177711,0.99338773532309,0.750520615146808,0.0,0.20281273058202684,0.0,
VAV2,0.00564499458874303,0.0,0.1663382222712203,0.0,0.5110819166050166,0.0,0.0,
VCAN,0.036103590928841175,0.13805605222982903,0.0891200857112618,4.303301222302817,0.0,3.6062658836854538,1.476252421873701,
VEGFA,1.141775123196874,0.5379418915346734,2.5912673395255763,1.3077321909587585,1.43455979682088,2.343056448165673,3.1942795236369617,
VTN,0.0,0.0,0.0032255004640545015,0.0,0.0,0.0,0.0,
VSIG4,0.05317830815027639,0.05004557037453084,0.014399501346557934,0.0,0.0,2.823190055240439,0.0,
CXCL10,0.2969086586250111,0.23859504061322254,0.08979647237380269,0.5106869724344573,0.0,0.6884127264943724,0.0,
CXCL13,0.0,0.6988844948120886,0.039446191229011836,0.0,0.0,0.0,0.0,
MEIS2,0.6257557494247807,0.3106717950033372,0.3769118059114189,2.5492323592050337,4.172015175253917,0.0,2.996510487081645,
ZNF532,1.3158265066506027,0.1443152010630563,0.24283072966641994,2.278977483956334,0.0,0.24607167478512768,2.9197122284068016,
