cohort,celltype,n,pearson_r,pearson_p,spearman_rho,spearman_p
GSE39582,Bcell_TLS,585,-0.32930289987531497,2.912437027223493e-16,-0.3349042342637182,8.467494788649823e-17
GSE39582,CD8T,585,-0.4400241685576307,4.251492785087916e-29,-0.4723394244105825,7.635050140822002e-34
GSE39582,Endothelial,585,0.34769955499307925,4.574632883016544e-18,0.34875792853024146,3.571724265712323e-18
GSE39582,Epithelial,585,-0.29736198594133156,2.079194212403068e-13,-0.2560229257550311,3.296354783623803e-10
GSE39582,Fibroblast,585,0.4431622221136811,1.547571237284156e-29,0.39565711126614794,2.316353794585926e-23
GSE39582,Macrophage_TAM,585,0.20067708901048428,9.92032414477624e-07,0.11206940783124804,0.006660630484483496
GSE39582,Pericyte,585,0.4368041227503934,1.186216993729194e-28,0.411321425646745,2.7329375040328385e-25
GSE17536,Bcell_TLS,177,-0.43777169236605395,1.1065786386626207e-09,-0.4381178476826925,1.0700434168496449e-09
GSE17536,CD8T,177,-0.6695575319953233,2.2364151103847787e-24,-0.6952831495299597,6.834276909063199e-27
GSE17536,Endothelial,177,0.3081102352102828,3.0187039595132163e-05,0.2706345977389588,0.0002691900181611597
GSE17536,Epithelial,177,-0.12178099111733787,0.10636980251962669,-0.0068709856131299665,0.9276785966844111
GSE17536,Fibroblast,177,0.5278944267732234,4.342184997678466e-14,0.49979468185433135,1.4196646568063701e-12
GSE17536,Macrophage_TAM,177,0.02909417705456736,0.7006732856586159,-0.04901880161354547,0.5170355533511746
GSE17536,Pericyte,177,0.5003033345019536,1.3365524520662168e-12,0.4596010173393064,1.2350976884727437e-10
TCGA_COADREAD,Bcell_TLS,434,-0.040979111240681584,0.39443622947499757,-0.0650292345267787,0.1762931293192843
TCGA_COADREAD,CD8T,434,-0.3139755904361563,2.200594694719634e-11,-0.31804473235391273,1.1726373597484019e-11
TCGA_COADREAD,Endothelial,434,0.4384343503112761,8.178982381757009e-22,0.41208725997469964,3.20529037353864e-19
TCGA_COADREAD,Epithelial,434,-0.45495146669060127,1.4706315028774682e-23,-0.4196075363046909,6.148842553297981e-20
TCGA_COADREAD,Fibroblast,434,0.396584583887315,8.473680277538659e-18,0.4207563791392606,4.760484189616823e-20
TCGA_COADREAD,Macrophage_TAM,434,0.29963588639286354,1.8757909194365386e-10,0.3242669647605077,4.3960095200257745e-12
TCGA_COADREAD,Pericyte,434,0.4473065730907916,9.707622242810845e-23,0.39459000340311695,1.2755542322722609e-17
