,top_celltype,zscore
APOH,Epi,3.63
APP,Endo,2.41
CCND2,Tgd,1.79
COL3A1,Fibro,2.82
COL5A2,Peri,2.74
CXCL6,Fibro,3.71
FGFR1,Fibro,3.26
FSTL1,Fibro,2.68
ITGAV,Peri,2.29
JAG1,Peri,2.71
JAG2,Endo,3.73
KCNJ8,Peri,3.73
LPL,Peri,3.47
LRPAP1,Fibro,2.35
LUM,Fibro,3.72
MSX1,Endo,3.6
NRP1,Endo,2.45
OLR1,Granulo,2.74
PDGFA,Peri,3.35
PF4,Epi,3.61
PGLYRP1,Granulo,3.75
POSTN,Fibro,3.13
PRG2,Mast,3.75
PTK2,Peri,2.79
S100A4,Mono,1.44
SERPINA5,Fibro,3.6
SLCO2A1,Endo,3.75
SPP1,Macro,3.08
STC1,Endo,3.69
THBD,Mono,2.45
TIMP1,Fibro,1.83
TNFRSF21,Macro,2.4
VAV2,Epi,1.77
VCAN,Mono,2.82
VEGFA,Granulo,2.5
VTN,DC,2.65
VSIG4,Macro,3.6
CXCL10,Macro,2.96
CXCL13,TCD8,3.61
MEIS2,Fibro,1.82
ZNF532,Peri,2.54
FLT1,Endo,3.68
KDR,Endo,3.75
NOTCH4,Endo,3.73
PDGFRB,Peri,3.1
CXCR3,TCD8,2.08
CXCR5,B,3.7
NOTCH1,Endo,3.24
NOTCH2,Mono,1.84
NOTCH3,Peri,2.83
