,Epi,Endo,Fibro,Peri,SmoothMuscle,Macro,Mono,DC,TCD4,TCD8,Tgd,NK,B,Plasma,Mast,Granulo
APOH,0.001846854375813297,0.0,0.0004360728666671201,0.0,0.0,4.3112196984458994e-05,0.0,0.00020201274587759922,7.733935483826658e-05,4.02614532094209e-05,0.0,0.0,2.669994480196303e-05,1.8028338630690272e-05,0.0,0.0
APP,0.7464600997612402,1.5499726035382786,1.1397850312845967,0.9237601295901455,0.7118070905442562,0.3161109008947727,0.2321039036662746,0.3216739340811252,0.06071616833868206,0.0371999092396245,0.021279100045325343,0.0241643059955944,0.06860801081302192,0.03609221077448901,0.007688841329720778,0.02053496051298344
CCND2,0.4212768850840079,0.1934352952317984,0.37944632241749304,0.5206691753421099,0.16163534724460776,0.1592414597313963,0.12225994364668566,0.23183327307830134,0.38692841829363045,0.4870499113772389,0.5831815529352593,0.39820465658473575,0.05606000334009263,0.13571880057489716,0.11187852566581738,0.13823637276001233
COL3A1,0.007251056614744835,0.1846933604965795,3.057869527585215,2.5137045014549195,0.3521313891792218,0.016140187269569065,0.009744328568183084,0.006965805123962335,0.006482775002582544,0.007558308437725304,0.003299860751506159,0.013673565403889578,0.004658940780848539,0.00420013134913651,0.0045193390689618985,0.018868768292059707
COL5A2,0.0033735924546128716,0.1636889960862698,1.087335383120515,1.245608639004418,0.10541805511362236,0.002879485190705399,0.00191133746657276,0.001750948379134772,0.0016952681732184235,0.0016991971974257,0.0007953291719734085,0.0006640636160842949,0.0009724179817435381,0.0011836264417490238,0.0012412331614120597,0.0
CXCL6,0.0014876742015872526,5.80197593954731e-05,0.17621614695126464,0.0058330524671709625,0.0,0.014759144305649386,0.020332923428353643,0.0014148787540932772,0.0009181212505253985,0.0002973367215385318,0.0004179311441108921,0.0003684777207165033,0.00014993018418240384,9.98996181381649e-05,0.0,0.012731128697554984
FGFR1,0.007981741551032168,0.23919365657892983,0.6374294890481388,0.1165061917233545,0.26128902523951436,0.031358158623344325,0.015197952520220258,0.005350074970870965,0.021017281155935524,0.006514758854991187,0.0035685271898659105,0.016597568353858342,0.006049164754511716,0.0027238393497560367,0.015344359086464733,0.0026015868082025916
FSTL1,0.007154180397703192,0.8114182466162629,1.4324247223991304,1.0443430364654476,0.2090484760116777,0.004207381095023282,0.002976268576765466,0.009813202845762696,0.0019774630444255666,0.001756383718599154,0.00151894838486543,0.0010099938518614232,0.0014155415985111863,0.0017470979485716023,0.001757613140172125,0.003972451698171813
ITGAV,0.1193648991883334,0.35557314522875116,0.4397845488940318,0.5693182017495342,0.24177411002269122,0.329417902479887,0.21563183071308065,0.04806555338719556,0.02498909462700832,0.028173357243875773,0.023368545954060786,0.014333334523141774,0.008021122918772208,0.013215225563769124,0.07079060270809998,0.00922511377441173
JAG1,0.15025846387669087,0.4876430415254464,0.14624456316229942,0.8788863604449397,0.6272118822090824,0.04391605984396975,0.06196269065274362,0.01846604718696262,0.00537391439484823,0.005439632205301035,0.00591266323557272,0.013831494783708567,0.002447670036215454,0.003980002507427191,0.015284179762726804,0.012384214559789617
JAG2,0.03418145144955242,0.37720233002531917,0.0028506381498692537,0.004860506309886877,0.002145430831143055,0.0040374693912365,0.0033484586415033226,0.004522801196837275,0.008177924302604906,0.0176858303545281,0.025452479859247007,0.01627083288273273,0.0010887290583851265,0.001590105803346677,0.004859186813448786,0.0023864416415968004
KCNJ8,0.0005323924293173721,0.03995644555219799,0.03759495489733848,0.762411731834511,0.07072474375425515,0.00018268686134644628,0.00021064121900073936,0.0001510244862274456,0.00023570546884294055,0.0,0.00015281537714618385,0.00044370785620025045,0.0,0.00016002286328409325,0.0,0.0
LPL,0.010537947970428601,0.0321705801845471,0.02699288930350006,0.32343118189207243,0.0019177468572401549,0.12241932743266246,0.0417468835010076,0.0046370421024231525,0.0008555404702596331,0.000664955350971079,0.0001429736268078915,0.0,0.0003102376293238158,0.0003655956855815574,0.00018909816035502435,0.0062320920121057164
LRPAP1,0.32850710582852755,0.40221663670445923,0.6592176028502468,0.44744849743291076,0.38143305282801687,0.5829275958080423,0.2852788926861888,0.27751391813618076,0.23696464815540078,0.2598224323612746,0.2192271133378988,0.2520756046847533,0.14839462136473391,0.31061411414902923,0.21209556751898861,0.15063112164942596
