,Bcell_TLS,CD8T,Endothelial,Epithelial,Fibroblast,Macrophage_TAM,Pericyte
VSIG4,0.004219989682956519,0.0037326977230476145,0.004859178492790863,0.0022876799530214013,0.0038039430903965164,2.0103100457655487,0.0024563193693416907
CXCL10,0.018516509678126094,0.03245483622787217,0.19072322035531675,0.0788642698567398,0.5995466073810976,3.0905303334609084,0.28811207594562294
CXCL13,0.03991343744339814,14.404218035305208,0.008519684134280012,0.010886923951216149,0.15324749403467605,0.13383916992860642,0.003532036060057147
MEIS2,0.005409821345581116,0.0013448043184293192,0.45208501846531013,0.03429193361494447,0.4705170353110539,0.001682725556105854,0.3724738789924075
ZNF532,0.0958399425857447,0.012254987581276588,0.26632833861484706,0.014495843738853126,0.2490493175100465,0.05894647825552733,0.4170060919169807
CD68,0.11499626866801743,0.06376301886611185,0.08507284393897352,0.25214703579402625,0.3432296482004096,9.194341241301219,0.11020628299358086
CD163,0.00503386770445415,0.011070269570809794,0.006355190231793633,0.003798529693583243,0.007318808506836296,3.6417652143393218,0.00991534302188482
MRC1,0.00010891641857065025,0.00010104071532623157,0.004191516985203125,0.0006783238872685502,0.0,0.18648216095163955,0.0
MSR1,0.005122496529174576,0.004825374886999015,0.004796666543596822,0.002507818111887795,0.014409319033865024,2.8248395576752174,0.0020431683749922228
CSF1R,0.004021706146890705,0.0062899555340962246,0.006396198620936982,0.003355193540678118,0.008236455490635803,2.3075790445283952,0.012175868269480389
C1QA,0.05857245515282128,0.12442256990872841,0.06238867759968657,0.03290481571199047,0.04278947117651444,34.40407100220283,0.06451771513187116
C1QB,0.07136590816405958,0.13605563459862355,0.042578640886803826,0.032505250662114425,0.039221514686797264,38.31863212479519,0.0645623094964669
APOE,0.057716273044765225,0.13983151812304942,0.13036332161473563,0.0411660127511577,10.851541463476183,37.77337588520942,2.5759167353896193
VWF,0.005376342775826152,0.010726887936398706,12.67551169515507,0.007105166222731331,0.015331727381176084,0.01195998681942092,0.04296595223746802
CDH5,0.0007312555930394949,0.0012886781673567738,2.8905043696260653,0.002337421578058918,0.004674199725656258,0.0026069162606010246,0.0047747458585504065
CLDN5,0.0051950012956834294,0.002724585616738078,14.516518934692225,0.007034785250908152,0.013559522558390387,0.003839909701650595,0.048660934858197696
ENG,0.023377284720820953,0.06491141455110357,7.490901320334052,0.0178702733287565,0.8220888476891015,0.9269204739839918,0.8678460158991459
RGS5,0.006706561540765365,0.007519511432645129,2.459603586440332,0.007594388372993784,0.6492904807011152,0.012318007616428718,39.02000985548697
ACTA2,0.036998515284003726,0.20982121889007704,0.7075562072287161,0.022311946485480343,7.029058102906099,0.03450635204605874,34.5980683136527
NOTCH3,0.0023587578032040336,0.0030716389230192242,0.2913819766041132,0.005415564359592254,0.28119598376523913,0.010809233599714781,6.824943090125444
PDGFRB,0.005768397030872944,0.03669991421404551,0.32476571627053186,0.00439354166339408,1.4566011122829465,0.006702420940439788,7.758689633351731
MYH11,0.04072048972433179,0.026017453538245822,0.07553053949042927,0.005425362278207577,1.0633989266157604,0.010095697464393547,2.4965455266917576
TAGLN,0.03758890934464591,0.027534672235895036,1.0742554938998312,0.04997518531978587,11.853454806279121,0.07588841239057274,26.63005986848536
CD8A,0.02167151496129307,6.307382552572997,0.0066412892073163185,0.006558387691005393,0.008456690158127738,0.03993816097290423,0.004854144975659907
CD8B,0.011920513160352423,3.4521046670663367,0.0038510331508140113,0.009621506080537277,0.014111274209490678,0.02146153644721858,0.0
CD3D,0.09832913360883325,17.233326186951523,0.0388250122726654,0.03101974996646572,0.03484473434877154,0.22184467079122525,0.03352482860105157
CD3E,0.06360254786631513,7.393393200997767,0.01896497139986494,0.014949440888694291,0.024237389104798526,0.1061540260948992,0.014094300116413772
GZMK,0.021401361130388034,4.747880419170744,0.0035420080198193407,0.00299808051637166,0.0105146677699126,0.0378394706157331,0.007701236954285986
MS4A1,8.421524588257128,0.10438021063404446,0.009467415027409078,0.007145121411694376,0.005740344522868519,0.03365919614578902,0.009822048923352264
CD79A,11.133909262719797,0.12917225757661085,0.02167257039672881,0.016837897420249714,0.018675087874278743,0.06068545177670263,0.012888154479217451
CD79B,5.961052855206629,0.2203246195450598,0.30722733060031665,0.006590982189471368,0.035009390818557376,0.03413256672990901,0.06574156524601422
CR2,0.535326051136294,0.009078032954421545,0.0022817122017314865,0.001840433377287263,0.011886096753961866,0.002776618818333613,0.0
CD19,1.4476756694619386,0.013600643406956107,0.002845616644443368,0.002310972498292002,0.005649046774219991,0.014952441885078636,0.009975456423379728
EPCAM,0.23390163999026475,0.3309670045821002,0.3001851654278236,12.72499521622373,0.31864883038741637,0.24829204740156477,0.29049655284408415
KRT8,0.36260829313656273,0.558822494028624,0.6163966667721562,18.970977006077742,0.7202612885321986,0.3722679690859444,0.9979653886712929
KRT18,0.3385611374327263,0.5327472700804037,0.6677878176124045,16.926879435872483,0.5641275614817336,0.37172033905325785,2.1953433589782745
KRT19,0.21831903461899368,0.37981020048658004,0.24312916304455168,11.214740921095105,0.2286120888894138,0.22866194440789137,0.19792604254467935
COL1A1,0.01616776883144462,0.02556868122511227,0.6555857105429407,0.03334038516285879,36.33674827946063,0.02621819477413347,25.555940091992436
COL1A2,0.018710511376925337,0.02022896934416275,0.75104791949812,0.01832417903912281,42.0385205869034,0.03239354443673663,22.523454598864245
DCN,0.011836079459563678,0.009374637096304232,0.06098437800125118,0.020466862353569336,60.963753536267504,0.0176252884878206,0.8641745673008359
LUM,0.008072165895517123,0.008781095166802406,0.06448437083625454,0.013431828441584888,41.95993286657008,0.02080188009888476,1.5509899589517333
