TF,target,source,n,spearman_rho,p,p_fdr_bh,significant_fdr05
STAT1,CXCL10,TRRUST,434,0.7944621898338382,1.3113385865691546e-95,4.065149618364379e-94,True
IRF1,CXCL10,TRRUST,434,0.6638274326183528,1.8091298137320228e-56,2.8041512112846355e-55,True
E2F1,MEIS2,ChEA,434,-0.4790998895656417,2.74565697591087e-26,2.837178875107899e-25,True
SMAD2,MEIS2,ChEA,434,0.46115965435437617,3.0658182687166058e-24,2.3760091582553695e-23,True
E2F1,VSIG4,ChEA,434,-0.46005026457194925,4.066837511944637e-24,2.5214392574056753e-23,True
IRF7,CXCL10,TRRUST,434,0.3596513086571247,1.0663284136666664e-14,5.50936347061111e-14,True
SMAD2,CXCL13,ChEA,434,0.3362979102050671,6.180429409193234e-13,2.737047309785575e-12,True
SMAD3,MEIS2,ChEA,434,0.32523480133549365,3.7661296850808506e-12,1.4593752529688297e-11,True
NFKB1,CXCL13,TRRUST,434,0.3207542873662706,7.670380985690575e-12,2.64202011729342e-11,True
E2F1,CXCL13,ChEA,434,-0.2880868642251257,9.691221545978641e-10,3.0042786792533787e-09,True
FOSL1,CXCL10,TF_Pert,434,0.27014781348546185,1.075750104153303e-08,3.0316593844320356e-08,True
UBTF,ZNF532,ChEA,434,0.25077392886370287,1.196354346506622e-07,3.090582061808773e-07,True
SMAD3,ZNF532,ChEA,434,0.2401066084255991,4.1516172065280396e-07,9.900010261720709e-07,True
RELA,CXCL10,TRRUST,434,0.21261904051621755,7.901575040924728e-06,1.7496344733476184e-05,True
MYC,CXCL13,TF_Pert,434,-0.20658476228774003,1.4366503671266538e-05,2.9690774253950845e-05,True
MYC,VSIG4,TF_Pert,434,-0.20490849062343053,1.6910026159345874e-05,3.2763175683732635e-05,True
MYC,CXCL10,TF_Pert,434,0.2022652867919962,2.1807375618554252e-05,3.976639083383423e-05,True
SMAD3,CXCL13,ChEA,434,0.17590774122022376,0.00023067223125463517,0.0003972688427163161,True
SMAD2,ZNF532,ChEA,434,0.162391131405302,0.0006841571549874655,0.0011162564107690227,True
FOSL1,VSIG4,TF_Pert,434,-0.15342223187814902,0.0013460470798342642,0.0020863729737431095,True
NFKB1,CXCL10,TRRUST,434,0.14246865318695953,0.002933423802749516,0.004330292280249286,True
BCL3,CXCL10,TRRUST,434,0.13670228344459318,0.004329976986349225,0.0061013312080375436,True
UBTF,MEIS2,ChEA,434,0.12780121840881467,0.007682800630530364,0.010355079110714838,True
IRF3,CXCL10,TRRUST,434,0.11837410447050434,0.013601547679620046,0.01756866575284256,True
TFAP2A,MEIS2,ChEA,434,0.11409323929715491,0.017417183096344668,0.02159730703946739,True
E2F1,CXCL10,ChEA,434,0.09205932118031436,0.05531658682799033,0.06595439198721924,False
IKBKB,CXCL10,TRRUST,434,0.07765174494162665,0.10620949775763167,0.12194423816616969,False
TFAP2A,ZNF532,ChEA,434,0.05904941862994406,0.2195669115611807,0.24309193779987862,False
TFAP2A,VSIG4,ChEA,434,-0.057718497401615866,0.23015372649796315,0.24602639729092612,False
FOSL1,CXCL13,TF_Pert,434,-0.013767658081179808,0.7748755138745862,0.8007046976704058,False
UBTF,CXCL13,ChEA,434,0.0038348201058963005,0.9365081352090316,0.9365081352090316,False
