,BCL3,CXCL10,CXCL13,E2F1,FOSL1,IKBKB,IRF1,IRF3,IRF7,MEIS2,MYC,NFKB1,RELA,SMAD2,SMAD3,STAT1,TFAP2A,UBTF,VSIG4,ZNF532
TCGA-CA-5256-01,9.152,8.685,6.61,9.131,6.751,9.405,10.92,10.16,7.351,3.319,13.17,9.519,10.33,8.649,9.039,11.27,1.638,10.77,6.155,6.737
TCGA-AZ-6599-01,11.3,4.754,4.807,8.426,7.088,9.678,10.01,10.35,9.158,5.135,11.7,10.87,11.34,11.03,9.634,11.08,8.241,11.61,3.194,6.236
TCGA-AA-3655-01,10.47,8.588,5.7,9.48,9.213,9.409,11.26,10.51,9.2,6.606,12.17,11.04,11.16,9.897,10.4,12.66,5.8,11.11,6.787,8.383
TCGA-A6-6137-01,10.55,7.243,3.068,8.856,7.47,10.32,10.79,10.02,8.555,4.888,13.52,10.95,11.24,10.21,10.45,11.67,4.413,11.65,6.951,8.29
TCGA-CK-4952-01,10.9,6.674,3.591,9.605,8.329,9.981,10.8,10.0,7.74,6.753,12.44,11.36,10.86,10.78,10.05,11.03,9.432,11.57,6.736,6.98
TCGA-A6-5657-01,10.58,9.466,9.382,9.411,9.14,10.24,10.74,11.03,8.96,7.128,12.91,10.99,11.29,9.672,10.28,11.99,8.15,11.45,6.461,9.483
TCGA-AD-6963-01,9.771,8.573,7.679,10.38,10.31,10.04,11.9,10.86,8.142,3.527,13.52,10.52,10.93,9.895,9.582,13.44,6.277,11.42,6.688,7.639
TCGA-AA-3663-11,10.34,5.676,7.933,7.73,3.478,9.333,10.75,9.943,8.507,9.146,10.92,10.83,11.03,10.63,10.5,11.0,4.529,11.47,9.967,9.457
TCGA-A6-6138-01,9.961,11.44,8.694,9.664,6.398,9.325,12.37,10.45,8.507,5.4,12.61,11.35,11.18,10.77,9.837,13.79,5.936,11.31,8.899,8.5
TCGA-A6-A567-01,9.564,6.406,4.133,8.943,8.162,10.9,10.44,10.53,7.238,5.135,11.92,9.754,11.25,10.24,9.866,11.89,3.853,11.25,6.37,9.275
TCGA-AA-3712-11,10.38,5.499,7.011,7.568,3.622,9.934,10.64,10.1,8.548,6.288,10.77,10.72,10.78,10.51,10.71,10.87,4.082,11.22,9.745,8.52
TCGA-D5-6928-01,10.4,12.16,10.96,9.026,6.519,10.52,13.65,11.27,10.3,7.836,11.85,10.97,11.12,10.83,10.73,14.1,6.955,11.5,9.191,9.927
TCGA-AZ-6598-01,10.21,8.792,7.754,8.99,8.389,9.863,11.07,9.744,9.069,7.198,12.59,10.27,11.16,10.56,9.825,11.14,9.098,11.48,8.059,8.453
TCGA-D5-6931-01,10.33,8.345,7.356,8.95,9.708,9.574,11.34,10.56,8.307,5.056,12.24,10.67,11.02,10.51,9.859,12.49,8.347,11.36,7.544,10.65
TCGA-G4-6295-01,10.07,9.145,8.716,10.41,9.624,10.7,11.8,10.06,9.342,3.606,13.89,9.728,11.32,10.08,10.52,13.18,6.767,11.8,6.954,9.509
TCGA-AA-A01X-01,8.981,4.905,6.113,8.768,6.569,9.8,9.991,10.13,8.45,4.739,12.02,10.12,11.14,10.35,9.879,11.71,2.618,11.44,6.152,8.944
TCGA-AZ-4313-01,10.18,8.719,5.261,9.978,9.163,8.76,11.11,10.36,7.379,3.969,11.54,10.18,10.89,10.71,9.436,11.17,8.026,10.39,4.094,7.08
TCGA-DM-A0XD-01,10.55,6.716,4.332,9.811,10.3,9.211,10.75,10.61,8.75,5.244,12.43,9.779,10.94,9.607,9.763,11.72,5.279,11.39,5.561,9.458
TCGA-D5-6535-01,10.74,8.677,6.201,9.282,8.446,9.28,11.6,10.36,8.492,6.577,12.64,10.61,11.22,10.91,10.18,12.49,4.25,11.47,6.802,8.15
TCGA-AA-3509-01,9.837,8.819,5.895,8.939,7.029,10.15,10.26,10.03,8.764,3.455,13.35,10.47,11.22,9.756,9.733,12.05,4.054,10.99,7.634,8.556
TCGA-DM-A28E-01,9.972,6.949,1.885,9.799,6.37,10.1,10.62,10.42,8.469,3.11,11.96,10.78,11.06,9.864,10.72,11.28,5.116,11.41,4.406,6.673
TCGA-A6-5667-11,10.73,5.037,8.365,7.785,7.504,9.887,10.28,10.25,8.786,6.938,11.4,10.83,11.07,10.31,10.52,10.92,1.945,11.61,8.355,8.493
TCGA-G4-6307-01,9.865,5.126,5.866,10.15,8.101,9.422,10.17,10.81,8.979,3.279,12.71,10.01,11.6,9.494,9.494,10.16,1.486,12.0,2.927,7.279
TCGA-A6-2682-01,10.97,6.588,3.037,8.812,8.698,9.53,10.16,10.33,8.655,6.201,12.46,10.53,11.38,9.777,10.02,10.72,7.678,10.7,8.156,8.962
TCGA-CM-5868-01,9.703,7.985,3.681,9.532,8.341,9.066,10.19,10.57,9.632,5.867,12.34,9.96,11.11,10.07,9.479,11.43,4.665,11.35,6.226,8.966
TCGA-CK-4947-01,9.524,8.725,7.147,8.336,7.683,9.434,11.0,9.814,8.203,6.397,12.92,10.8,10.82,10.71,9.905,12.5,4.974,11.24,7.259,8.413
TCGA-D5-5540-01,8.087,10.25,8.434,9.929,5.88,8.288,10.17,10.07,7.131,3.863,12.6,9.425,10.53,9.835,9.6,11.65,2.958,10.53,7.079,8.23
TCGA-A6-4105-01,10.54,10.55,8.163,10.33,8.075,9.432,11.6,10.78,8.834,5.665,13.33,10.84,11.29,9.973,10.37,12.59,4.121,11.46,9.062,8.556
TCGA-A6-6651-01,10.19,8.174,9.42,9.63,7.685,9.694,10.57,10.31,8.546,9.075,12.46,10.68,11.26,10.51,10.56,12.35,4.115,11.82,9.848,10.25
TCGA-G4-6625-01,10.55,10.37,9.127,9.943,7.399,9.654,12.24,10.54,8.952,6.128,12.74,10.66,11.05,10.17,10.07,13.2,6.061,11.53,8.673,8.472
TCGA-CM-5860-01,10.69,10.48,6.392,9.212,7.71,9.523,11.66,10.74,8.59,6.114,12.56,10.59,10.92,10.36,9.97,12.27,7.289,10.95,7.626,9.198
TCGA-DM-A28G-01,9.645,5.448,2.978,8.78,6.477,9.512,9.591,10.21,7.427,4.902,12.18,10.07,10.92,10.73,9.821,10.97,7.68,11.31,5.354,8.863
TCGA-A6-5666-01,9.116,7.004,2.607,9.182,8.552,9.59,10.05,10.07,6.581,3.417,13.36,10.35,10.86,9.701,10.0,11.37,6.103,11.46,6.038,8.387
TCGA-A6-2675-11,10.09,4.907,3.73,7.332,5.01,9.351,10.74,9.582,8.541,10.05,10.19,10.83,11.16,10.83,11.17,11.06,4.577,11.73,7.843,10.16
TCGA-AA-3516-11,10.25,7.823,8.554,6.661,3.924,9.148,12.58,9.791,9.504,8.064,9.633,10.82,10.99,10.48,11.17,12.68,3.319,11.54,9.001,8.343
TCGA-AZ-6605-01,10.14,9.306,8.313,9.238,8.946,10.07,10.99,10.33,9.466,7.258,12.63,10.58,11.12,10.15,10.14,12.32,3.933,11.55,7.94,10.05
TCGA-CA-5797-01,10.62,9.76,6.039,9.582,8.26,12.43,10.8,10.13,9.071,5.525,13.29,10.93,11.21,10.05,10.27,12.03,3.312,11.28,6.279,9.03
TCGA-D5-6930-01,10.12,10.25,9.972,9.884,7.59,9.238,12.45,10.43,9.056,7.272,12.07,11.23,11.27,10.56,9.423,12.41,7.24,11.82,6.913,8.691
TCGA-5M-AAT4-01,9.967,4.96,2.285,10.11,9.989,9.09,9.897,10.56,8.444,3.607,13.46,9.763,11.1,9.731,9.345,10.89,4.649,11.37,6.631,8.781
TCGA-AA-3685-01,10.17,11.31,8.129,10.38,8.592,9.753,12.65,10.89,8.603,4.654,13.17,9.971,11.15,10.1,9.046,12.83,4.276,10.78,8.633,7.251
TCGA-D5-6924-01,9.186,9.818,8.72,9.948,6.432,10.26,11.22,10.4,8.321,6.647,13.04,10.38,10.77,9.95,10.33,12.5,3.762,11.63,8.219,9.792
TCGA-CA-6718-01,9.385,13.8,8.618,10.06,9.446,9.601,13.11,10.72,9.803,8.248,11.27,10.45,10.97,10.64,9.658,14.84,9.058,11.18,8.746,10.55
TCGA-AZ-6603-01,10.08,10.4,5.231,9.833,6.795,9.46,11.72,10.42,8.927,6.006,13.23,10.74,11.47,9.948,10.38,12.64,3.289,11.73,8.479,9.097
TCGA-CM-5862-01,9.312,6.562,1.566,8.752,6.914,9.937,9.918,9.739,7.361,5.587,12.31,10.51,10.51,9.568,10.06,10.75,3.674,10.86,5.663,7.785
TCGA-AZ-6598-11,10.3,6.921,9.682,8.138,6.037,9.631,10.83,10.24,10.0,8.129,11.19,10.69,10.85,10.58,10.21,11.99,3.971,11.41,8.358,9.347
TCGA-AA-A01Z-01,10.65,4.831,2.718,9.848,8.882,9.712,10.21,10.65,8.439,3.442,13.54,10.36,11.25,9.419,6.2,10.64,6.503,10.77,4.543,7.639
TCGA-DM-A0X9-01,10.15,8.123,7.107,9.416,7.002,10.04,10.96,11.43,7.848,4.756,12.4,10.78,10.85,10.5,9.828,12.0,2.181,11.75,6.322,8.13
TCGA-A6-A566-01,10.4,7.683,6.673,8.719,7.399,9.558,10.05,9.951,8.837,6.923,11.25,10.51,10.71,10.58,9.684,12.29,7.425,11.09,9.702,10.63
TCGA-A6-5662-11,9.728,4.397,8.949,7.044,6.725,9.306,10.33,9.668,7.941,9.767,11.08,10.65,10.98,10.82,10.49,11.06,2.834,11.37,8.351,9.697
TCGA-D5-6534-01,10.05,10.03,8.736,7.743,8.148,10.36,12.08,10.46,8.96,8.619,10.39,10.66,11.28,10.69,11.02,13.11,4.204,11.56,10.26,10.73
TCGA-CK-6746-01,9.293,10.47,6.617,9.018,8.815,10.71,13.14,10.37,9.219,7.843,12.79,10.79,11.15,10.52,9.618,14.53,7.008,11.42,9.167,8.37
TCGA-A6-5656-01,10.15,6.965,3.217,10.34,8.696,10.12,10.8,10.92,7.893,4.999,13.3,10.16,10.35,9.358,10.69,11.43,6.121,11.12,5.5,7.752
TCGA-5M-AAT6-01,9.513,9.903,9.352,9.518,9.86,9.215,11.87,10.57,9.237,6.127,13.23,10.95,11.01,10.6,9.685,13.29,9.876,11.66,9.701,9.541
TCGA-QG-A5Z1-01,10.01,5.686,2.126,9.296,8.124,10.37,9.622,10.37,8.546,6.964,13.0,10.58,11.22,9.936,7.548,10.95,5.286,11.39,7.417,8.854
TCGA-AZ-6605-11,8.955,4.79,4.972,5.643,4.044,9.443,9.802,9.295,6.907,11.39,9.451,10.58,11.36,11.1,10.18,11.42,4.723,11.9,9.146,11.35
TCGA-CK-4951-01,10.28,10.43,7.703,8.999,9.366,9.288,12.47,10.41,9.769,7.685,11.9,10.98,11.2,10.56,9.86,13.55,7.653,11.07,8.227,9.332
