,cg17001652,cg12020230,cg01134794,cg06662476,cohort,CXCL13,ARGscore
TCGA-AA-3663-01,0.7721,0.9588,0.9212,0.8188,COAD,5.641,2.26197524
TCGA-D5-6530-01,0.7249,0.9629,0.8644,0.9286,COAD,7.708,1.9849881700000005
TCGA-NH-A8F7-01,0.8551,0.9364,0.9039,0.9074,COAD,0.9508,2.9338066499999993
TCGA-CK-4948-01,0.3954,0.4422,0.6309,0.6335,COAD,5.745,3.0941909
TCGA-3L-AA1B-01,0.6232,0.8967,0.8901,0.8839,COAD,6.753,3.3209084100000004
TCGA-AZ-4615-01,0.7979,0.9344,0.6816,0.7435,COAD,9.64,2.4015694199999995
TCGA-D5-5538-01,0.3715,0.6933,0.9052,0.9092,COAD,7.68,2.6499862199999997
TCGA-G4-6306-01,0.3997,0.8494,0.8777,0.8866,COAD,6.475,0.6721170699999998
TCGA-AD-6964-01,0.6061,0.8361,0.7819,0.8934,COAD,9.311,2.7245681400000006
TCGA-AD-A5EJ-01,0.7649,0.798,0.9003,0.9171,COAD,5.472,2.3955460199999994
TCGA-A6-6651-01,0.7137,0.9391,0.9098,0.9026,COAD,9.42,3.61142358
TCGA-DM-A1HB-01,0.8779,0.938,0.9196,0.9313,COAD,5.072,3.08996515
TCGA-D5-6535-01,0.3786,0.8362,0.7981,0.9085,COAD,6.201,2.38478729
TCGA-AY-6197-01,0.3805,0.525,0.7392,0.9181,COAD,3.54,2.62843074
TCGA-CA-5256-01,0.5645,0.9235,0.8143,0.8563,COAD,6.61,1.3051777600000003
TCGA-T9-A92H-01,0.5352,0.8982,0.8774,0.9036,COAD,4.804,2.24880897
TCGA-AZ-6598-01,0.724,0.9466,0.8829,0.9326,COAD,7.754,2.59042228
TCGA-DM-A0X9-01,0.5304,0.8749,0.8988,0.9097,COAD,7.107,1.97974305
TCGA-AD-6963-01,0.5314,0.8796,0.8156,0.8161,COAD,7.679,1.5728355599999997
TCGA-G4-6626-01,0.8567,0.9134,0.8874,0.9282,COAD,5.102,1.7006613000000002
TCGA-G4-6628-01,0.9149,0.9366,0.8867,0.9151,COAD,8.186,2.625995219999999
TCGA-CA-6716-01,0.8981,0.9571,0.8961,0.9381,COAD,2.503,3.2988191899999997
TCGA-A6-6653-01,0.7186,0.9614,0.9049,0.94,COAD,5.013,2.818067339999999
TCGA-AA-3489-01,0.7491,0.9071,0.9036,0.9162,COAD,8.881,3.1424797200000008
TCGA-A6-2682-01,0.4935,0.8055,0.7931,0.864,COAD,3.037,3.5190439
TCGA-G4-6304-01,0.7671,0.8058,0.8687,0.8834,COAD,6.147,1.4822909199999998
TCGA-F4-6855-01,0.4865,0.9219,0.8388,0.8699,COAD,3.676,3.86872048
TCGA-NH-A6GA-01,0.3905,0.9142,0.8848,0.5189,COAD,2.372,4.057253769999999
TCGA-NH-A50V-01,0.5117,0.8981,0.8713,0.8964,COAD,5.634,2.60339309
