,cg24049621,cg26172016,cg17675150,cg21867891,cg05800761,cg23309969,cg25401010,cg06487082,cg12406559,cg12737497,cg17289202,cg04212150,cg03096126,cg14269096,cg24243629,cg21710408,cg05603258,ch.18.1114073F,cg14517073,cohort,ZNF532,ARGscore
TCGA-AA-3663-01,0.9143,0.2603,0.955,0.9459,0.9342,0.9321,0.9474,0.475,0.8267,0.7122,0.0247,0.612,0.6948,0.8246,0.5086,0.5071,0.2924,0.0451,0.9164,COAD,6.465,2.26197524
TCGA-D5-6530-01,0.9125,0.4246,0.9606,0.9366,0.935,0.9245,0.9552,0.1035,0.1185,0.0505,0.0099,0.2925,0.2633,0.8951,0.6373,0.7776,0.9171,0.0489,0.8195,COAD,8.587,1.9849881700000005
TCGA-NH-A8F7-01,0.8066,0.5144,0.8952,0.914,0.8967,0.8955,0.9138,0.2923,0.1259,0.1254,0.0139,0.5054,0.6304,0.8281,0.2633,0.7679,0.9345,0.058,0.8187,COAD,7.727,2.9338066499999993
TCGA-CK-4948-01,0.9228,0.5335,0.9364,0.9191,0.9142,0.8884,0.9057,0.1271,0.122,0.0655,0.012,0.3795,0.4332,0.5782,0.425,0.5405,0.828,0.0523,0.7557,COAD,9.072,3.0941909
TCGA-3L-AA1B-01,0.8832,0.5159,0.9189,0.8936,0.8821,0.8738,0.9162,0.1376,0.1709,0.0918,0.0118,0.3165,0.3601,0.5934,0.3913,0.6195,0.8814,0.0817,0.7923,COAD,9.237,3.3209084100000004
TCGA-AZ-4615-01,0.7161,0.6817,0.9362,0.9152,0.881,0.8856,0.8932,0.3966,0.4346,0.3918,0.0108,0.4533,0.673,0.5655,0.5892,0.4883,0.8931,0.09,0.8231,COAD,8.704,2.4015694199999995
TCGA-D5-5538-01,0.9151,0.4289,0.6558,0.6871,0.7853,0.687,0.7017,0.0923,0.1074,0.0728,0.0133,0.0844,0.043,0.3195,0.3543,0.6461,0.88,0.0478,0.8576,COAD,9.589,2.6499862199999997
TCGA-G4-6306-01,0.885,0.4205,0.9418,0.9156,0.896,0.9296,0.9448,0.1728,0.2293,0.1242,0.012,0.3762,0.2424,0.4852,0.3904,0.8433,0.9499,0.0763,0.918,COAD,6.531,0.6721170699999998
TCGA-AD-6964-01,0.889,0.6436,0.954,0.944,0.9406,0.938,0.9447,0.2543,0.4234,0.2883,0.0111,0.4855,0.4992,0.76,0.525,0.6675,0.7724,0.0544,0.7714,COAD,9.33,2.7245681400000006
TCGA-AD-A5EJ-01,0.8769,0.7862,0.9557,0.9447,0.9419,0.927,0.9341,0.5346,0.5274,0.495,0.0104,0.5677,0.6451,0.8329,0.5136,0.7803,0.9209,0.0488,0.9038,COAD,8.496,2.3955460199999994
TCGA-A6-6651-01,0.911,0.6444,0.9375,0.9098,0.9258,0.9055,0.9299,0.2592,0.2476,0.1941,0.0111,0.3714,0.4418,0.7263,0.3973,0.588,0.882,0.0529,0.8932,COAD,10.25,3.61142358
TCGA-DM-A1HB-01,0.9276,0.4121,0.8845,0.9502,0.9384,0.9416,0.9034,0.0764,0.0544,0.0586,0.0114,0.4484,0.2702,0.7685,0.7074,0.4615,0.8996,0.0608,0.9069,COAD,7.662,3.08996515
TCGA-D5-6535-01,0.8892,0.5135,0.9311,0.9118,0.9029,0.9006,0.9232,0.1362,0.167,0.0545,0.0141,0.2666,0.1233,0.7226,0.7854,0.6006,0.898,0.0695,0.9066,COAD,8.15,2.38478729
TCGA-AY-6197-01,0.8864,0.6348,0.9382,0.8932,0.7044,0.8555,0.8957,0.5415,0.3989,0.4723,0.013,0.656,0.2472,0.8467,0.7348,0.7813,0.9363,0.047,0.8873,COAD,7.138,2.62843074
TCGA-CA-5256-01,0.8368,0.5706,0.9364,0.9207,0.8889,0.9147,0.9359,0.2581,0.2748,0.1043,0.0108,0.5651,0.7045,0.7327,0.292,0.6727,0.8854,0.0539,0.8957,COAD,6.737,1.3051777600000003
TCGA-T9-A92H-01,0.7696,0.2123,0.4225,0.3441,0.5653,0.3412,0.5299,0.0777,0.1374,0.0965,0.0113,0.1677,0.1153,0.4386,0.2999,0.7672,0.9198,0.0836,0.7579,COAD,8.259,2.24880897
TCGA-AZ-6598-01,0.8915,0.6997,0.9437,0.9349,0.9349,0.9389,0.9463,0.0996,0.1497,0.0826,0.0092,0.3852,0.5346,0.7041,0.3089,0.7471,0.9496,0.0634,0.8945,COAD,8.453,2.59042228
TCGA-DM-A0X9-01,0.9152,0.4041,0.8955,0.9286,0.9228,0.9349,0.9395,0.0608,0.0835,0.056,0.0107,0.3981,0.7303,0.6826,0.2932,0.7896,0.9406,0.032,0.9174,COAD,8.13,1.97974305
TCGA-AD-6963-01,0.842,0.6115,0.9224,0.9153,0.9124,0.9127,0.9308,0.0884,0.1328,0.0917,0.0139,0.246,0.2219,0.6141,0.4826,0.5643,0.8946,0.0731,0.7606,COAD,7.639,1.5728355599999997
TCGA-G4-6626-01,0.8942,0.8367,0.9624,0.9487,0.9397,0.9118,0.9547,0.3719,0.3931,0.2509,0.0123,0.6291,0.6946,0.8659,0.8189,0.8047,0.9429,0.0616,0.7751,COAD,7.234,1.7006613000000002
TCGA-G4-6628-01,0.9206,0.5208,0.9615,0.9454,0.9239,0.9223,0.9479,0.1404,0.1706,0.1227,0.0117,0.355,0.4177,0.8727,0.5659,0.7314,0.926,0.0584,0.9087,COAD,8.976,2.625995219999999
TCGA-CA-6716-01,0.8997,0.8238,0.9535,0.9312,0.9325,0.9373,0.9447,0.675,0.5262,0.2245,0.0104,0.5958,0.8313,0.8425,0.5775,0.7792,0.9568,0.0807,0.9099,COAD,8.915,3.2988191899999997
TCGA-A6-6653-01,0.8978,0.8438,0.9602,0.9299,0.9288,0.9211,0.9502,0.0674,0.0651,0.0631,0.0102,0.34,0.431,0.5595,0.6486,0.8198,0.9568,0.0657,0.9229,COAD,8.973,2.818067339999999
TCGA-AA-3489-01,0.9054,0.5948,0.9464,0.9367,0.9241,0.912,0.9282,0.0942,0.1144,0.0654,0.0109,0.2506,0.3774,0.6334,0.5917,0.583,0.842,0.058,0.9303,COAD,9.833,3.1424797200000008
TCGA-A6-2682-01,0.79,0.6065,0.9115,0.9156,0.8877,0.8564,0.8997,0.1292,0.0796,0.058,0.0112,0.2967,0.3372,0.7339,0.5522,0.6008,0.9002,0.0641,0.8674,COAD,8.962,3.5190439
TCGA-G4-6304-01,0.886,0.7616,0.9431,0.9296,0.921,0.9301,0.9378,0.2656,0.2921,0.1018,0.0131,0.3095,0.3271,0.8341,0.786,0.6479,0.9207,0.0627,0.8333,COAD,7.924,1.4822909199999998
TCGA-F4-6855-01,0.7852,0.5854,0.922,0.9274,0.9033,0.9137,0.9165,0.0844,0.0656,0.0983,0.0133,0.5283,0.632,0.7279,0.6032,0.6356,0.9039,0.0675,0.7873,COAD,10.07,3.86872048
