gene,probe,n,rho_meth_vs_expr,p_meth_vs_expr,rho_meth_vs_ARGscore,p_meth_vs_ARGscore,p_meth_vs_expr_fdr
VSIG4,cg04625493,368,0.04308329183188433,0.409910132982946,0.08890543127100066,0.08855430214223059,0.5010012736458228
VSIG4,cg26561773,370,-0.053925898005879956,0.30088917534676174,0.0762752384700904,0.14309750671007188,0.38685751116012224
VSIG4,cg12124912,370,-0.3555177344754172,1.8292336919556714e-12,-0.06088289850929206,0.24271508143704243,9.531270289663763e-12
VSIG4,cg02811156,370,-0.1500447164683205,0.003818296966925862,-0.10076458021325642,0.052791971682240216,0.006631778942555444
VSIG4,cg16786117,370,-0.12320468389645205,0.017744351018823993,-0.04361931218059755,0.40282111391041,0.027883980172437702
VSIG4,cg15166523,370,-0.06267534160965477,0.22909718650583477,0.025540696619712075,0.6243443121949331,0.3064948846496979
CXCL10,cg25799590,370,-0.17372971476662702,0.0007907696643767375,0.09708073025210594,0.06211484206056918,0.0015967486867438426
CXCL10,cg01654824,370,-0.2780040498668324,5.4195191425193e-08,0.07851783534382492,0.1316726666291071,2.031505925506161e-07
CXCL10,cg14622819,369,-0.3640259162314821,5.27074355466241e-13,0.08276927456871792,0.11245014555673129,3.261272574447366e-12
CXCL10,cg23884076,370,-0.45231141559346694,4.656144114859647e-20,-0.02917534095507961,0.5758757341831466,6.585118105301501e-19
CXCL10,cg14855841,370,-0.38427174465278185,1.8191671488516525e-14,-0.08441330340639572,0.10499131255596308,1.5008128978026133e-13
CXCL13,cg17001652,370,0.1734528827466029,0.0008064387306787084,0.09570521552695913,0.06592685159669154,0.0015967486867438426
CXCL13,cg12020230,370,-0.11230755244052695,0.03078765477972979,0.09503813898123924,0.06784353549521706,0.04762465348739451
CXCL13,cg01134794,370,-0.1655282417008983,0.0013968760868790905,0.014453183070336583,0.7817138360259028,0.0026092591056798104
CXCL13,cg06662476,370,-0.027313793776817214,0.6004793563450235,-0.08967845437710431,0.08495452797659186,0.6833040951512336
MEIS2,cg16247888,370,0.4322417679212511,2.825566819753952e-18,0.16212085056763656,0.0017562498683067718,3.108123501729347e-17
MEIS2,cg12877169,370,0.5306992276264632,2.8687766974511818e-28,0.2066129035888336,6.224922798499788e-05,9.466963101588899e-27
MEIS2,cg09863630,370,0.565352967180647,1.2295709905388223e-32,0.26936819181936994,1.429359232506751e-07,6.08637640316717e-31
MEIS2,cg04482825,370,0.3757866684419013,7.440346795373106e-14,0.20772411213267805,5.670138785599566e-05,5.666110251861057e-13
MEIS2,cg14980255,370,-0.026462869195460884,0.6118812246392225,-0.03483252323507411,0.5041638566724443,0.6883663777191253
MEIS2,cg22240333,370,-0.04118426071387733,0.4296155305875038,-0.10119523446222485,0.05178241686882202,0.518682164977596
MEIS2,cg19637634,370,0.06799602750679755,0.19188776096992785,0.03846644293430016,0.4607051288755696,0.2602313470688063
MEIS2,cg09896544,370,0.19646772366776954,0.00014267842600464305,0.11016928372910989,0.034138633612836956,0.00032102645851044687
MEIS2,cg26732155,370,-0.14668931834612906,0.004692945726037104,-0.2335664379599499,5.612299887640119e-06,0.008010372877201265
MEIS2,cg02366856,370,0.4065686216624173,3.6781728691452e-16,0.14723179101700615,0.004540301320660389,3.31035558223068e-15
MEIS2,cg24776427,370,0.18202921915511644,0.0004331797779583724,0.1254889720513358,0.015725896429638918,0.0009124425110186993
MEIS2,cg04339553,370,0.25458461762248835,6.960401927460802e-07,0.017434176451320428,0.7381956168662762,1.9687994023389125e-06
MEIS2,cg02433515,370,0.01913648665088269,0.7137042343890756,0.028355502282877816,0.5866529037413175,0.7516672255799839
MEIS2,cg12903574,370,0.5061740905855125,1.8100974764741537e-25,0.24563174498862697,1.7330292105582574e-06,4.47999125427353e-24
MEIS2,cg25447144,370,0.41286453032527476,1.158039812293704e-16,0.16522943600490353,0.0014254524197245967,1.146459414170767e-15
MEIS2,cg05334416,370,0.6230623956013341,3.610941229390569e-41,0.2590735410533759,4.348146505032077e-07,3.574831817096663e-39
MEIS2,cg22291711,370,0.05984995194145662,0.2508153914960085,-0.008177766595914302,0.8754238727750465,0.33107631677473126
MEIS2,cg17171920,370,0.00691135733506971,0.8945932798566328,-0.08688549019153213,0.09516140639815188,0.9037217827123127
MEIS2,cg21579197,370,0.366635647495392,3.2478847322958706e-13,0.10168360390491234,0.05065708194421782,2.2967184892663657e-12
MEIS2,cg10451116,370,0.5048894566259383,2.5015277369548313e-25,0.23614690229366167,4.3877620908864895e-06,4.9530249191705664e-24
MEIS2,cg12790758,370,0.24495087437288818,1.8549036932168368e-06,0.07224362029882139,0.16551973672113773,5.100985156346301e-06
MEIS2,cg12241599,370,0.33795049403035243,2.4547653887005766e-11,0.053389674761638285,0.3057282350008913,1.2151088674067855e-10
MEIS2,cg09970590,370,0.1444664045670579,0.005367927064797901,0.07592443921575,0.144951170648813,0.009007199651101564
MEIS2,cg13051302,370,0.17193414669330356,0.0008976263564688037,-0.009100725722200255,0.8614982738044225,0.0017424511625570896
