,cg25799590,cg01654824,cg14622819,cg23884076,cg14855841,cohort,CXCL10,ARGscore
TCGA-AA-3663-01,0.9079,0.9404,0.4911,0.698,0.8021,COAD,8.554,2.26197524
TCGA-D5-6530-01,0.793,0.9314,0.2434,0.6401,0.6863,COAD,10.54,1.9849881700000005
TCGA-NH-A8F7-01,0.9196,0.9395,0.8574,0.8142,0.8182,COAD,3.715,2.9338066499999993
TCGA-CK-4948-01,0.8518,0.889,0.6298,0.6102,0.6974,COAD,5.763,3.0941909
TCGA-3L-AA1B-01,0.8762,0.9278,0.6027,0.697,0.7445,COAD,4.708,3.3209084100000004
TCGA-AZ-4615-01,0.8376,0.8969,0.4225,0.5609,0.7324,COAD,10.59,2.4015694199999995
TCGA-D5-5538-01,0.6884,0.8976,0.2311,0.695,0.7091,COAD,10.17,2.6499862199999997
TCGA-G4-6306-01,0.8968,0.9334,0.448,0.7212,0.6633,COAD,7.257,0.6721170699999998
TCGA-AD-6964-01,0.9187,0.9489,0.5446,0.6038,0.7787,COAD,10.23,2.7245681400000006
TCGA-AD-A5EJ-01,0.9251,0.9423,0.4338,0.6244,0.8403,COAD,6.958,2.3955460199999994
TCGA-A6-6651-01,0.9046,0.9187,0.6107,0.5833,0.7419,COAD,8.174,3.61142358
TCGA-DM-A1HB-01,0.9287,0.9446,0.5512,0.6419,0.7348,COAD,4.828,3.08996515
TCGA-D5-6535-01,0.9387,0.9329,0.5777,0.5343,0.6478,COAD,8.677,2.38478729
TCGA-AY-6197-01,0.919,0.9336,0.0521,0.7616,0.8693,COAD,6.385,2.62843074
TCGA-CA-5256-01,0.8253,0.9351,0.4895,0.7534,0.823,COAD,8.685,1.3051777600000003
TCGA-T9-A92H-01,0.9275,0.938,0.6807,0.7617,0.8612,COAD,6.246,2.24880897
TCGA-AZ-6598-01,0.9292,0.9305,0.6786,0.7899,0.849,COAD,8.792,2.59042228
TCGA-DM-A0X9-01,0.672,0.941,0.5069,0.7835,0.8103,COAD,8.123,1.97974305
TCGA-AD-6963-01,0.9084,0.9374,0.5984,0.5141,0.7766,COAD,8.573,1.5728355599999997
TCGA-G4-6626-01,0.9281,0.9239,0.4457,0.6386,0.794,COAD,7.17,1.7006613000000002
TCGA-G4-6628-01,0.896,0.9314,0.4437,0.4846,0.5081,COAD,11.4,2.625995219999999
TCGA-CA-6716-01,0.9373,0.9447,0.7533,0.8165,0.834,COAD,4.58,3.2988191899999997
TCGA-A6-6653-01,0.9412,0.9253,0.2958,0.7969,0.9016,COAD,8.225,2.818067339999999
TCGA-AA-3489-01,0.8906,0.9322,0.424,0.4406,0.5767,COAD,8.423,3.1424797200000008
TCGA-A6-2682-01,0.8524,0.9287,0.4637,0.5408,0.7486,COAD,6.588,3.5190439
TCGA-G4-6304-01,0.8886,0.932,0.6444,0.2256,0.5101,COAD,9.886,1.4822909199999998
TCGA-F4-6855-01,0.8899,0.9182,0.6671,0.8192,0.8986,COAD,6.564,3.86872048
TCGA-NH-A6GA-01,0.5807,0.9306,0.6669,0.6812,0.7276,COAD,5.877,4.057253769999999
TCGA-NH-A50V-01,0.912,0.9402,0.49,0.7089,0.8006,COAD,9.28,2.60339309
TCGA-CK-5912-01,0.788,0.9407,0.7077,0.8054,0.8308,COAD,5.88,2.611547469999999
TCGA-DM-A288-01,0.7522,0.9552,0.4709,0.6973,0.8406,COAD,3.144,3.4187874
TCGA-AD-6548-01,0.9258,0.9432,0.4403,0.6378,0.7315,COAD,10.26,2.304968089999999
TCGA-AD-6890-01,0.9234,0.9446,0.599,0.8178,0.8717,COAD,8.098,2.06722258
TCGA-G4-6293-01,0.7746,0.9492,0.6377,0.5721,0.7224,COAD,8.769,2.0471774600000003
TCGA-CK-5916-01,0.8459,0.9351,0.6941,0.7021,0.5921,COAD,10.67,2.6894541499999995
TCGA-CK-6747-01,0.9429,0.9477,0.5759,0.8433,0.7896,COAD,8.553,2.6282431299999995
