,cg04625493,cg26561773,cg12124912,cg02811156,cg16786117,cg15166523,cohort,VSIG4,ARGscore
TCGA-AA-3663-01,0.8383,0.2145,0.843,0.9234,0.9537,0.3392,COAD,8.257,2.26197524
TCGA-D5-6530-01,0.8955,0.5793,0.8501,0.9033,0.9398,0.8852,COAD,7.918,1.9849881700000005
TCGA-NH-A8F7-01,0.7216,0.7949,0.8259,0.8995,0.7826,0.7484,COAD,5.26,2.9338066499999993
TCGA-CK-4948-01,0.4565,0.557,0.6566,0.671,0.7584,0.522,COAD,7.114,3.0941909
TCGA-3L-AA1B-01,0.7172,0.8228,0.828,0.799,0.9377,0.6028,COAD,7.029,3.3209084100000004
TCGA-AZ-4615-01,0.9101,0.7866,0.8101,0.8612,0.9208,0.7281,COAD,8.925,2.4015694199999995
TCGA-D5-5538-01,0.5784,0.5326,0.5678,0.6678,0.7926,0.6546,COAD,9.465,2.6499862199999997
TCGA-G4-6306-01,0.9025,0.957,0.8912,0.925,0.952,0.9457,COAD,3.128,0.6721170699999998
TCGA-AD-6964-01,0.8659,0.7195,0.8478,0.8772,0.9209,0.9115,COAD,10.14,2.7245681400000006
TCGA-AD-A5EJ-01,0.8524,0.6715,0.6885,0.8793,0.9463,0.7206,COAD,6.133,2.3955460199999994
TCGA-A6-6651-01,0.83,0.9133,0.7868,0.8812,0.9382,0.8207,COAD,9.848,3.61142358
TCGA-DM-A1HB-01,0.3943,0.8851,0.7818,0.5849,0.9311,0.8556,COAD,5.96,3.08996515
TCGA-D5-6535-01,0.5221,0.7351,0.7881,0.7036,0.9488,0.745,COAD,6.802,2.38478729
TCGA-AY-6197-01,0.7202,0.7903,0.804,0.8811,0.847,0.8611,COAD,6.275,2.62843074
TCGA-CA-5256-01,0.7426,0.5463,0.8192,0.589,0.9111,0.7591,COAD,6.155,1.3051777600000003
TCGA-T9-A92H-01,0.9214,0.8925,0.892,0.9195,0.936,0.9371,COAD,5.484,2.24880897
TCGA-AZ-6598-01,0.638,0.8085,0.8185,0.5397,0.9397,0.3533,COAD,8.059,2.59042228
TCGA-DM-A0X9-01,0.5939,0.4665,0.8475,0.6658,0.9472,0.7177,COAD,6.322,1.97974305
TCGA-AD-6963-01,0.5997,0.8629,0.781,0.8726,0.9241,0.7319,COAD,6.688,1.5728355599999997
TCGA-G4-6626-01,0.9032,0.9439,0.8496,0.9182,0.9552,0.9236,COAD,4.676,1.7006613000000002
TCGA-G4-6628-01,0.548,0.7286,0.4144,0.8878,0.8008,0.5689,COAD,9.325,2.625995219999999
TCGA-CA-6716-01,0.9326,0.795,0.8999,0.9162,0.9562,0.9395,COAD,5.455,3.2988191899999997
TCGA-A6-6653-01,0.9092,0.793,0.8597,0.923,0.9333,0.9303,COAD,6.222,2.818067339999999
TCGA-AA-3489-01,0.91,0.9324,0.7992,0.8909,0.948,0.8662,COAD,9.496,3.1424797200000008
TCGA-A6-2682-01,0.635,0.6984,0.6474,0.8423,0.9334,0.7553,COAD,8.156,3.5190439
TCGA-G4-6304-01,0.6452,0.8751,0.3951,0.8964,0.9166,0.8171,COAD,6.872,1.4822909199999998
TCGA-F4-6855-01,0.8326,0.7461,0.6304,0.7104,0.8255,0.819,COAD,8.705,3.86872048
TCGA-NH-A6GA-01,,0.9098,0.9009,0.8752,0.9318,0.9134,COAD,6.701,4.057253769999999
TCGA-NH-A50V-01,0.8961,0.8584,0.8624,0.8575,0.9349,0.8918,COAD,7.353,2.60339309
TCGA-CK-5912-01,0.8418,0.909,0.8471,0.8585,0.9402,0.7621,COAD,4.997,2.611547469999999
TCGA-DM-A288-01,0.9033,0.9197,0.8414,0.925,0.9589,0.9398,COAD,4.548,3.4187874
TCGA-AD-6548-01,0.4308,0.4563,0.7649,0.7582,0.8348,0.4547,COAD,7.555,2.304968089999999
TCGA-AD-6890-01,0.6338,0.6962,0.869,0.858,0.9154,0.8877,COAD,6.378,2.06722258
TCGA-G4-6293-01,0.633,0.6263,0.8176,0.7872,0.9541,0.6219,COAD,5.929,2.0471774600000003
TCGA-CK-5916-01,0.6094,0.7941,0.7132,0.8319,0.9489,0.8938,COAD,7.982,2.6894541499999995
TCGA-CK-6747-01,0.7495,0.7549,0.8582,0.6967,0.9467,0.3459,COAD,6.559,2.6282431299999995
TCGA-QL-A97D-01,0.4767,0.6725,0.7981,0.865,0.8897,0.5724,COAD,6.466,1.39513995
TCGA-A6-A56B-01,0.8166,0.9209,0.9063,0.9039,0.9515,0.928,COAD,6.246,3.615672299999999
TCGA-G4-6307-01,0.6944,0.7298,0.817,0.7012,0.6448,0.6759,COAD,2.927,1.5227502899999998
TCGA-AZ-6600-01,0.8866,0.9354,0.85,0.9291,0.9525,0.877,COAD,8.445,3.08437363
TCGA-F4-6808-01,0.6046,0.8727,0.7706,0.7986,0.902,0.795,COAD,3.927,2.3689558899999996
TCGA-G4-6309-01,0.9198,0.9255,0.8213,0.8123,0.9499,0.6977,COAD,5.731,1.80543712
TCGA-AA-3662-01,0.6313,0.8208,0.7754,0.763,0.8057,0.7522,COAD,8.565,2.519271379999999
TCGA-AY-A71X-01,0.4596,0.6523,0.8776,0.798,0.9344,0.603,COAD,2.276,2.3520838299999993
TCGA-CM-6169-01,0.7296,0.8948,0.8423,0.7731,0.935,0.8673,COAD,8.828,2.7154476199999995
TCGA-DM-A28K-01,0.9223,0.9029,0.8847,0.9229,0.9536,0.9426,COAD,5.391,2.540932709999999
TCGA-D5-6540-01,0.8511,0.4555,0.7794,0.8678,0.9064,0.4148,COAD,6.284,2.67676672
TCGA-CA-5254-01,0.4536,0.4444,0.8534,0.8821,0.9416,0.7794,COAD,6.352,3.6725914399999993
TCGA-AY-6386-01,0.5883,0.5191,0.6925,0.7009,0.9418,0.6536,COAD,6.111,1.85058495
TCGA-AA-3655-01,0.9157,0.9374,0.8482,0.924,0.9507,0.8292,COAD,6.787,2.52602704
TCGA-D5-6926-01,0.6124,0.5895,0.8553,0.5984,0.9242,0.382,COAD,8.501,3.0870406299999997
